Item Name,Book Price,,Price Per foot or Unit,,Price if Purchased Per:,,,Bid Labor Per Foot or Unit,DCI / UPC
 2/0 THW CU STRANDED,"$109,703.53",M,109.70353, ,"$65,822.12",M,1000,0.016,98 0100 21835
 3/0 THW CU STRANDED,"$137,646.76",M,137.64676, ,"$82,588.06",M,1000,0.02,98 0100 21840
 4/0 THW CU STRANDED,"$175,270.64",M,175.27064, ,"$105,162.38",M,1000,0.022,98 0100 21845
 250 THW CU STRANDED,"$198,134.71",M,198.13471, ,"$118,880.83",M,1000,0.024,98 0100 21850
 300 THW CU STRANDED,"$223,248.84",M,223.24884, ,"$133,949.30",M,1000,0.026,98 0100 21855
 350 THW CU STRANDED,"$260,732.20",M,260.7322, ,"$156,439.32",M,1000,0.032,98 0100 21860
 400 THW CU STRANDED,"$297,451.64",M,297.45164, ,"$178,470.98",M,1000,0.036,98 0100 21865
 500 THW CU STRANDED,"$371,001.13",M,371.00113, ,"$222,600.68",M,1000,0.038,98 0100 21870
 600 THW CU STRANDED,"$469,561.71",M,469.56171, ,"$281,737.03",M,1000,0.042,98 0100 21875
 750 THW CU STRANDED,"$772,106.49",M,772.10649, ,"$463,263.89",M,1000,0.048,98 0100 21880
1000 THW CU STRANDED,"$1,014,689.80",M,1014.6898, ,"$608,813.88",M,1000,0.054,98 0100 21900
cu bare solid,$0.00, ,, ,$0.00, ,0,,
  14 BARE CU SOLID,$952.74,M,0.95274, ,$571.64,M,1000,0.003,98 0100 33400
  12 BARE CU SOLID,"$1,476.12",M,1.47612, ,$885.67,M,1000,0.004,98 0100 33410
  10 BARE CU SOLID,"$2,334.18",M,2.33418, ,"$1,400.51",M,1000,0.005,98 0100 33420
   8 BARE CU SOLID,"$4,170.38",M,4.17038, ,"$2,502.23",M,1000,0.006,98 0100 33430
   6 BARE CU SOLID,"$7,388.76",M,7.38876, ,"$4,433.26",M,1000,0.007,98 0100 33440
   4 BARE CU SOLID,"$12,087.27",M,12.08727, ,"$7,252.36",M,1000,0.008,98 0100 33450
