Item Name,Book Price,,Price Per foot or Unit,,Price if Purchased Per:,,,Bid Labor Per Foot or Unit,DCI / UPC
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,7.22,98 0900 15632
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,8.88,98 0900 15633
busduct feeder 3p cu of,$0.00, ,, ,$0.00, ,0,,
 600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15634
 800A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15635
1000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15636
1200A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.05,98 0900 15637
1350A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15638
1600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15639
2000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15640
2500A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,5.27,98 0900 15641
3000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,6.11,98 0900 15642
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,7.22,98 0900 15643
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,8.88,98 0900 15644
busduct feeder 3p cu ex,$0.00, ,, ,$0.00, ,0,,
 600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15645
 800A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15646
1000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15647
1200A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.05,98 0900 15648
1350A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15649
1600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15650
2000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15651
2500A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,5.27,98 0900 15652
3000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,6.11,98 0900 15653
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,7.22,98 0900 15654
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,8.88,98 0900 15655
busduct feeder 3p cu p/,$0.00, ,, ,$0.00, ,0,,
 600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,1.11,98 0900 15656
 800A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,1.39,98 0900 15657
1000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,1.66,98 0900 15658
1200A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,1.94,98 0900 15659
1350A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15660
1600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15661
2000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15662
2500A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.05,98 0900 15663
3000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15664
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15665
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15666
busduct feeder 3p cu ca,$0.00, ,, ,$0.00, ,0,,
 600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15677
 800A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15678
1000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15679
1200A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.05,98 0900 15680
1350A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15681
1600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15682
2000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15683
2500A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,5.27,98 0900 15684
3000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,6.11,98 0900 15685
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,7.22,98 0900 15686
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,8.88,98 0900 15687
busduct feeder 3p cu tr,$0.00, ,, ,$0.00, ,0,,
 600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15688
 800A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15689
1000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15690
1200A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.05,98 0900 15691
1350A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15692
1600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15693
2000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15694
2500A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,5.27,98 0900 15695
3000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,6.11,98 0900 15696
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,7.22,98 0900 15697
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,8.88,98 0900 15698
busduct feeder 3p cu se,$0.00, ,, ,$0.00, ,0,,
 600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15699
 800A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15700
1000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15701
1200A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,4.99,98 0900 15702
1350A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,5.55,98 0900 15703
1600A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,6.66,98 0900 15704
2000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,7.77,98 0900 15705
2500A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,8.88,98 0900 15706
3000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,9.99,98 0900 15707
4000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,11.10,98 0900 15708
5000A 3P CU FEED BUS DU,$0.00,Q,, ,$0.00,Q,0,13.30,98 0900 15709
busduct feeder 3p cu wa,$0.00, ,, ,$0.00, ,0,,
 600A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,1.11,98 0900 15710
 800A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,1.28,98 0900 15711
1000A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,1.44,98 0900 15712
1200A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,1.66,98 0900 15713
1350A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,1.94,98 0900 15714
1600A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15715
2000A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15716
2500A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15717
3000A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15718
4000A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15719
5000A 3P BUS DUCT WALL-,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15720
busduct feeder 3p cu fi,$0.00, ,, ,$0.00, ,0,,
 600A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,1.66,98 0900 15721
 800A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,1.94,98 0900 15722
1000A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,2.22,98 0900 15723
1200A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 15724
1350A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,2.78,98 0900 15725
1600A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,3.33,98 0900 15726
2000A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,3.88,98 0900 15727
2500A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,4.44,98 0900 15728
3000A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,4.99,98 0900 15729
4000A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,5.55,98 0900 15730
5000A 3P BUS DUCT FIRE-,$0.00,Q,, ,$0.00,Q,0,6.66,98 0900 15731
transformer,$0.00, ,, ,$0.00, ,0,,
transformer 1 phase,$0.00, ,, ,$0.00, ,0,,
xfmr dry 1ph floor moun,$0.00, ,, ,$0.00, ,0,,
15 KVA FLOOR MTD IP FLO,$0.00,Q,, ,$0.00,Q,0,3.30,98 0900 17592
25 KVA FLOOR MTD IP FLO,$0.00,Q,, ,$0.00,Q,0,4.50,98 0900 17593
37.5 KVA FLOOR MTD IP F,$0.00,Q,, ,$0.00,Q,0,6.10,98 0900 17594
50 KVA FLOOR MTD IP FLO,$0.00,Q,, ,$0.00,Q,0,7.70,98 0900 17595
75 KVA FLOOR MTD IP FLO,$0.00,Q,, ,$0.00,Q,0,9.10,98 0900 17596
100 KVA FLOOR MTD IP FL,$0.00,Q,, ,$0.00,Q,0,10.40,98 0900 17597
150 KVA FLOOR MTD IP FL,$0.00,Q,, ,$0.00,Q,0,12.50,98 0900 17598
167 KVA FLOOR MTD IP FL,$0.00,Q,, ,$0.00,Q,0,13.10,98 0900 17599
200 KVA FLOOR MTD IP FL,$0.00,Q,, ,$0.00,Q,0,14.50,98 0900 17600
225 KVA FLOOR MTD IP FL,$0.00,Q,, ,$0.00,Q,0,15.00,98 0900 17601
250 KVA FLOOR MTD IP FL,$0.00,Q,, ,$0.00,Q,0,15.60,98 0900 17602
xfmr dry 1ph wall mtd 6,$0.00, ,, ,$0.00, ,0,,
0.05 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.20,
0.10 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.20,
0.15 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.20,
0.25 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.30,
0.50 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.40,98 0900 17622
0.75 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.70,98 0900 17623
   1 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.80,98 0900 17624
 1.5 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,1.90,98 0900 17625
   2 KVA TRANSF 1PH WAL,$0.00,Q,, ,$0.00,Q,0,2.30,98 0900 17626
   3 KVA TRANSF 1PH WAL,$0.00,Q,, ,$0.00,Q,0,2.50,98 0900 17627
   5 KVA TRANSF 1PH WAL,$0.00,Q,, ,$0.00,Q,0,3.10,98 0900 17628
 7.5 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,3.80,98 0900 17629
  10 KVA TRANSF 1PH WAL,$0.00,Q,, ,$0.00,Q,0,4.20,98 0900 17630
  15 KVA TRANSF 1PH WAL,$0.00,Q,, ,$0.00,Q,0,5.10,98 0900 17631
  25 KVA TRANSF 1PH WAL,$0.00,Q,, ,$0.00,Q,0,6.90,98 0900 17632
37.5 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,9.30,
  50 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,11.80,
  75 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,14.00,
 100 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,15.90,
 167 KVA TRANSF  1PH WA,$0.00,Q,, ,$0.00,Q,0,20.10,
transformer 3 phase,$0.00, ,, ,$0.00, ,0,,
xfmr dry 3ph floor mtd ,$0.00, ,, ,$0.00, ,0,,
   3 KVA TRANSF 3PH FLO,$0.00,Q,, ,$0.00,Q,0,1.60,
   6 KVA TRANSF 3PH FLO,$0.00,Q,, ,$0.00,Q,0,2.70,
   9 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,3.80,
  15 KVA TRANSF 3PH FLO,$0.00,Q,, ,$0.00,Q,0,4.10,98 0900 17603
  25 KVA TRANSF 3PH FLO,$0.00,Q,, ,$0.00,Q,0,5.30,98 0900 17604
  30 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,6.10,98 0900 17605
  37.5 KVA TRANSF  3PH ,$0.00,Q,, ,$0.00,Q,0,7.00,98 0900 17606
  45 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,7.90,98 0900 17607
  50 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,8.60,98 0900 17608
  75 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,10.10,98 0900 17609
112.5KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,11.80,98 0900 17611
 150 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,12.80,98 0900 17612
 200 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,13.00,98 0900 17613
 225 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,14.80,98 0900 17614
 250 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,15.80,98 0900 17615
 300 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,17.00,98 0900 17616
 400 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,20.00,98 0900 17617
 500 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,23.00,98 0900 17618
 600 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,21.00,98 0900 17619
 750 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,29.70,98 0900 17620
1000 KVA TRANSF  3PH FL,$0.00,Q,, ,$0.00,Q,0,35.70,98 0900 17621
xfmr dry 3ph wall mtd 6,$0.00, ,, ,$0.00, ,0,,
   1 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,1.60,98 0900 17633
   2 KVA TRANSF 3PH WAL,$0.00,Q,, ,$0.00,Q,0,2.70,98 0900 17634
   3 KVA TRANSF 3PH WAL,$0.00,Q,, ,$0.00,Q,0,3.50,98 0900 17635
   6 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,4.20,98 0900 17636
   9 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,5.20,98 0900 17637
  15 KVA TRANSF 3PH WAL,$0.00,Q,, ,$0.00,Q,0,6.30,98 0900 17638
  25 KVA TRANSF 3PH WAL,$0.00,Q,, ,$0.00,Q,0,8.20,98 0900 17639
  30 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,9.40,98 0900 17640
  45 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,12.20,98 0900 17641
  50 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,13.20,98 0900 17642
  60 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,14.20,98 0900 17643
  75 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,15.50,
100 KVA TRANSF  3PH WAL,$0.00,Q,, ,$0.00,Q,0,17.20,
112.5KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,18.20,
 150 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,19.80,
 200 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,21.20,
 225 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,22.80,
 300 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,26.20,
 500 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,35.40,
 750 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,45.80,
1000 KVA TRANSF  3PH WA,$0.00,Q,, ,$0.00,Q,0,54.90,
sq d 480x208/120v 3ph t,$0.00, ,, ,$0.00, ,0,,
3KVA  480X208/120V 3PH ,$0.00,Q,, ,$0.00,Q,0,3.50,
6KVA  480X208/120V 3PH ,$0.00,Q,, ,$0.00,Q,0,4.20,
9KVA  480X208/120V 3PH ,$0.00,Q,, ,$0.00,Q,0,5.20,
15KVA 480X208/120V 3PH ,$0.00,Q,, ,$0.00,Q,0,6.30,
30KVA    480X208/120V 3,$0.00,Q,, ,$0.00,Q,0,9.40,
45KVA    480X208/120V 3,$0.00,Q,, ,$0.00,Q,0,12.20,
75KVA    480X208/120V 3,$0.00,Q,, ,$0.00,Q,0,15.50,
112.5KVA 480X208/120V 3,$0.00,Q,, ,$0.00,Q,0,18.20,
150KVA   480X208/120V 3,$0.00,Q,, ,$0.00,Q,0,19.80,
225KVA   480X208/120V 3,$0.00,Q,, ,$0.00,Q,0,22.80,
xfmr isolation,$0.00, ,, ,$0.00, ,0,,
isolation transformer,$0.00, ,, ,$0.00, ,0,,
7.5 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,3.30,
 11 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,4.40,
 14 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,5.50,
 20 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,6.10,
 27 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,6.60,
 34 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,7.70,
 40 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,8.30,
 51 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,9.90,
 63 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,11.10,
 75 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,11.10,
 93 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,12.20,
118 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,12.70,
145 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,13.30,
175 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,14.40,
220 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,17.70,
275 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,21.00,
330 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,22.20,
440 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,24.40,
550 KVA ISO TRANSF 3PH,$0.00,Q,, ,$0.00,Q,0,26.60,
xfmr buck boost,$0.00, ,, ,$0.00, ,0,,
buck boost transf,$0.00, ,, ,$0.00, ,0,,
0.25KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,1.50,
0.50KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,1.60,
0.75KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,2.00,
1.0 KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,2.10,
1.5 KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,2.20,
2.0 KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,2.70,
3.0 KVA BUCK BOOST XFMR,$0.00,Q,, ,$0.00,Q,0,2.90,
xfmr oil,$0.00, ,, ,$0.00, ,0,,
oil transformer,$0.00, ,, ,$0.00, ,0,,
OIL XFMR 750 KVA,$0.00,Q,, ,$0.00,Q,0,42.60,
OIL XFMR 1000 KVA,$0.00,Q,, ,$0.00,Q,0,49.90,
OIL XFMR 1500 KVA,$0.00,Q,, ,$0.00,Q,0,55.50,
OIL XFMR 2500 KVA,$0.00,Q,, ,$0.00,Q,0,66.60,
"xfmr15kv,5kv oilfill",$0.00, ,, ,$0.00, ,0,,
   25 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,6.00,
   50 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,7.00,
   75 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,8.00,
 100 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,9.00,
 150 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,10.00,
  200 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,11.00,
  225 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,12.00,
  250 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,13.00,
 300 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,14.00,
  400 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,15.00,
  500 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,16.00,
  600 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,18.00,
  750 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,20.00,
1000 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,22.00,
1500 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,24.00,
2000 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,26.00,
2500 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,29.00,
3000 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,32.00,
3750 KVA OILFILL XFMR,$0.00,Q,, ,$0.00,Q,0,36.00,
xfmr 600 volt indoor,$0.00, ,, ,$0.00, ,0,45.00,
1500 KVA DRY TYPE,$0.00,Q,, ,$0.00,Q,0,40.00,98 0900 17588
2000 KVA DRY TYPE,$0.00,Q,, ,$0.00,Q,0,55.00,98 0900 17589
2500 KVA DRY TYPE,$0.00,Q,, ,$0.00,Q,0,60.00,98 0900 17590
3000 KVA DRY TYPE,$0.00,Q,, ,$0.00,Q,0,60.00,98 0900 17591
unit substation transfo,$0.00, ,, ,$0.00, ,0,,
unit substation,$0.00, ,, ,$0.00, ,0,,
5MVA UNIT SUBSTATION,$0.00,Q,, ,$0.00,Q,0,125.00,
75MVA UNIT SUBSTATION,$0.00,Q,, ,$0.00,Q,0,250.00,
cutout fuse,$0.00, ,, ,$0.00, ,0,,
transformer fused cutou,$0.00, ,, ,$0.00, ,0,,
  30A FUSED CUT-OUT,$0.00,Q,, ,$0.00,Q,0,1.53,
  60A FUSED CUT-OUT,$0.00,Q,, ,$0.00,Q,0,1.94,
 100A FUSED CUT-OUT,$0.00,Q,, ,$0.00,Q,0,2.22,
 200A FUSED CUT-OUT,$0.00,Q,, ,$0.00,Q,0,3.47,
 400A FUSED CUT-OUT,$0.00,Q,, ,$0.00,Q,0,5.55,
isolation pad,$0.00, ,, ,$0.00, ,0,,
transformer isolation p,$0.00, ,, ,$0.00, ,0,,
TRANSFORMER ISOLATION P,$12.00,E,$12.00, ,$7.20,E,0,0.00,70 5591 82013
wall mtd bracket,$0.00, ,, ,$0.00, ,0,,
transformer wall mtd br,$0.00, ,, ,$0.00, ,0,,
TRANSFORMER WALL MTD BR,$663.00,E,$663.00, ,$397.80,E,0,1.00,78 5901 75357
box ct,$0.00, ,, ,$0.00, ,0,,
ct can,$0.00, ,, ,$0.00, ,0,,
 100A CT CAN,$0.00,Q,, ,$0.00,Q,0,3.30,
 200A CT CAN,$0.00,Q,, ,$0.00,Q,0,4.40,
 400A CT CAN,$0.00,Q,, ,$0.00,Q,0,5.50,
 600A CT CAN,$0.00,Q,, ,$0.00,Q,0,7.00,
 800A CT CAN,$0.00,Q,, ,$0.00,Q,0,8.65,
1000A CT CAN,$0.00,Q,, ,$0.00,Q,0,9.95,
1200A CT CAN,$0.00,Q,, ,$0.00,Q,0,12.00,
1600A CT CAN,$0.00,Q,, ,$0.00,Q,0,15.00,
2000A CT CAN,$0.00,Q,, ,$0.00,Q,0,17.75,
2400A CT CAN,$0.00,Q,, ,$0.00,Q,0,19.50,
3000A CT CAN,$0.00,Q,, ,$0.00,Q,0,24.25,
4000A CT CAN,$0.00,Q,, ,$0.00,Q,0,30.50,
xfmr current (meter),$0.00, ,, ,$0.00, ,0,,
 100/5 CT,$96.00,E,$96.00, ,$57.60,E,0,0.79,78 5901 09858
 200/5 CT,$96.00,E,$96.00, ,$57.60,E,0,1.40,78 5901 09875
 300/5 CT,$96.00,E,$96.00, ,$57.60,E,0,2.50,78 5901 09884
 400/5 CT,"$1,563.00",E,"$1,563.00", ,$937.80,E,0,3.30,78 5901 09636
 600/5 CT,"$1,563.00",E,"$1,563.00", ,$937.80,E,0,4.90,78 5901 09638
 800/5 CT,"$1,353.00",E,"$1,353.00", ,$811.80,E,0,5.80,78 5901 09639
1000/5 CT,"$1,493.00",E,"$1,493.00", ,$895.80,E,0,6.60,78 5901 86296
1200/5 CT,"$1,493.00",E,"$1,493.00", ,$895.80,E,0,7.40,78 5901 86295
1600/5 CT,"$1,493.00",E,"$1,493.00", ,$895.80,E,0,9.90,78 5901 09623
2000/5 CT,"$1,596.00",E,"$1,596.00", ,$957.60,E,0,11.60,78 5901 09625
3000/5 CT,"$1,674.00",E,"$1,674.00", ,"$1,004.40",E,0,12.40,78 5901 09635
4000/5 CT,"$1,772.00",E,"$1,772.00", ,"$1,063.20",E,0,13.30,78 5901 09637
DRAW-OUT PT,$0.00,Q,, ,$0.00,Q,0,4.40,
switch service 600v,$0.00, ,, ,$0.00, ,0,,
service switch 600v,$0.00, ,, ,$0.00, ,0,,
 100A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,2.50,
 225A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,3.80,
 400A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,6.60,
 600A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,8.80,
 800A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,11.10,
1000A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,14.40,
1200A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,15.50,
1600A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,18.30,
2000A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,21.00,
2400A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,23.30,
3000A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,26.60,
4000A SER SW 600V,$0.00,Q,, ,$0.00,Q,0,31.00,
switch service 250v,$0.00, ,, ,$0.00, ,0,,
