assmNum,assmName,level1,level2,level3,matchType
1389,5' drop n14 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1398,5' drop n12 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1407,5' drop n10 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1416,5' drop n8 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1423,5' drop n6 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1430,5' drop n4 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1438,11' drop n14 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1447,11' drop n12 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1456,11' drop n10 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1465,11' drop n8 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1472,11' drop n6 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1479,11' drop n4 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1486,11' drop n2 emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
1493,n14 emt d/s/i strap,Branch,EMT,"D/S, Strap",unique
1502,n12 emt d/s/i strap,Branch,EMT,"D/S, Strap",unique
1511,n10 emt d/s/i strap,Branch,EMT,"D/S, Strap",unique
1556,emt d/c strap,Branch,EMT,"D/C, Strap",distance
1568,emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",distance
1580,emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,distance
1593,emt d/c branch parts,Branch with Constants,EMT Branch Parts,,unique
1777,n14 emt d/c strap,Branch,EMT,"D/C, Strap",unique
1786,n12 emt d/c strap,Branch,EMT,"D/C, Strap",unique
1795,n10 emt d/c strap,Branch,EMT,"D/C, Strap",unique
1804,n8 emt d/c strap,Branch,EMT,"D/C, Strap",unique
1811,n6 emt d/c strap,Branch,EMT,"D/C, Strap",unique
1817,n4 emt d/c strap,Branch,EMT,"D/C, Strap",unique
1823,n3 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1829,n2 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1835,n1 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1841,n1/0 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1847,n2/0 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
