Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
4/0-3 SER W/GRND ALUM,16.6207,0.054
al urd cable,,
4-3_AL_URD_TIFT,0.77167,0.0285
2-2&4-1_AL_URD_WELLS,0.91833,0.0325
2-3_AL_URD_JULLIARD,0.99333,0.0345
1/0-2&2-1_AL_URD_MARION,1.35167,0.0385
1/0-3_AL_URD_MONTCLAIR,1.55,0.04125
 2/0-2&1-1_AL_URD_BLISS,1.67333,0.0425
2/0-3_AL_URD_BLOOMFIELD,1.78833,0.045
3/0-2&1/0-1_AL_URD_WHIT,1.97167,0.047
3/0-3_AL_URD_PACE,2.21,0.04875
4/0-2&2/0-1_AL_URD_REGI,2.295,0.051
4/0-3_AL_URD_MANHATTAN,2.54833,0.0525
250-2&3/0-1_AL_URD_ADEL,2.89,0.055
350-2&4/0-1_AL_URD_CONC,3.655,0.065
connector se,,
    1 SE CONNECTOR,22.9954,0.0388
1 1/4 SE CONNECTOR,36.614,0.0499
1 1/2 SE CONNECTOR,52.4425,0.0555
    2 SE CONNECTOR,60.7804,0.0611
connector se wt,,
  3/4 SE WT CONNECTOR,15.5382,0.0388
    1 SE WT CONNECTOR,25.13,0.0444
1 1/4 SE WT CONNECTOR,46.8928,0.0499
1 1/2 SE WT CONNECTOR,58.8896,0.0555
    2 SE WT CONNECTOR,112.9084,0.0611
strap se cable 2 hole,,
 8/3-3/3 SE CABLE STRAP,0.482,0.05
2/3 SE CABLE STRAP 2 HO,0.5068,0.06
1/0-2/0 SE CABLE STRAP ,0.8162,0.09
3/0-4/0 SE CABLE STRAP ,0.9892,0.1
strap se cable 1 hole,,
 8/3-3/3 SE CABLE STRAP,0.4537,0.05
2/3 SE CABLE STRAP 1 HO,1.374,0.06
1-1/0-2/0 SE CABLE STRA,2.0309,0.09
3/0-4/0 SE CABLE STRAP ,2.3934,0.1
cu bx,,
bx cable,,
14/2 BX SOL 90D ARMOR,1.3272,0.02
12/2 BX SOL 90D ARMOR,0.9408,0.022
10/2 BX SOL 90D ARMOR,2.0664,0.025
 8/2 BX STR 90D ARMOR,2.772,0.028
