Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
 MARSHALLING PANEL,,20.00
 CONTROL PANEL(WALLMNT),,8.00
 INDOOR WALL SPKR,,1.00
 TONE GENERATOR,,1.00
 TELEPHONE INTERFACE,,1.00
fans,,
broan ventalating fans,,
fan ceiling,,
ventilator,,
"508 10"" WALL FAN",$302.78,0.47
"509 8""  WALL FAN",$191.16,0.42
"509S 8"" WALL FAN",$141.00,0.42
"506 10"" CHAIN OP FAN",$302.78,0.50
"507 8""  CHAIN OP FAN",$236.04,0.44
"502 10"" WALL/CEIL FAN",$303.10,0.47
"503 8""  WALL/CEIL FAN",$196.92,0.42
"504 10"" CEIL FAN V DISC",$242.06,0.56
"505 8"" CEIL FAN V DISCH",$114.00,0.50
"673 6"" BATHROOM FAN",$75.88,0.39
"688 6"" BATHROOM FAN",$24.00,0.42
"689 6"" BATHROOM FAN",$58.52,0.42
"670 6"" BATHROOM FAN",$82.92,0.42
"671 6"" BATHROOM FAN",$40.00,0.42
"511 8"" RM TO RM FAN",$212.70,0.47
657  70CFM BATH FAN/LT,$170.50,0.53
678  50CFM BATH FAN/LT,$54.00,0.47
696 100CFM BATH FAN/LT,$142.00,0.61
349BR 1000CFM  ATTIC VE,$282.58,1.60
355BR 1200CFM ATTIC VEN,$300.30,1.80
356BR 1600CFM ATTIC VEN,$366.90,1.90
358 1200CFM ATTIC VENT,$338.74,2.00
353 GABLE VENTILATOR,$188.60,1.50
433 GABLE VENT W/SHUTTE,$101.82,1.90
electric hand dryers,,
120V CHROME AUTO HAND D,$750.00,1.50
208V CHROME AUTO HAND D,$615.00,1.50
277V CHROME AUTO HAND D,$615.00,1.50
service flashing,,
flashing roof,,
roof flashings,,
1 1/4 - 1 1/2 FLASHING,43.0236,0.58
1 1/2 FLASHING,13.8934,0.64
    2 FLASHING,45.8914,0.67
2 1/2 FLASHING,51.628,0.67
    3 FLASHING,53.5403,0.67
    4 FLASHING,57.3637,0.72
bitumastic,,
1QT BITUMASTIC,$12.95,0.28
1GAL BITUMASTIC,$33.04,1.10
5GAL BITUMASTIC,$112.63,5.50
concrete vaults,,
vaults,,
VAULT 12.14.10,,16.60
VAULT 10.10.8,,13.30
VAULT 8.8.6,,9.90
VAULT 6.6.4,,6.60
VAULT 4.4.4,,4.40
VAULT 3.3.3,,3.80
FRAME & COVER,,2.20
"manhole-excavate, backf",,
6'X6'X6' DEEP SANDY SOI,$0.00,6.40
6'X6'X8' DEEP SANDY SOI,$0.00,7.20
6'X6'X10' DEEP SANDY SO,$0.00,8.00
6'X6'X6' DEEP CLAY SOIL,$0.00,7.20
6'X6'X8' DEEP CLAY SOIL,$0.00,8.00
6'X6'X10' DEEP CLAY SOI,$0.00,8.80
6'X6'X6' DEEP LOOSE SHA,$0.00,8.00
6'X6'X8' DEEP LOOSE SHA,$0.00,8.80
6'X6'X10' DEEP LOOSE SH,$0.00,9.60
"8"" thick foundation for",,
"5' X 5' X 8"" MANHOLE FO",$0.00,4.00
"6' X 6 'X 8"" MANHOLE FO",$0.00,4.80
"7' X 7' X 8"" MANHOLE FO",$0.00,5.60
"8' X 8' X 8"" MANHOLE FO",$0.00,6.40
hand holes - open botto,,
"HANDHOLE PRE-CAST 11"" X",$0.00,1.70
"HANDHOLE PRE-CAST 18"" X",$0.00,2.50
"HANDHOLE COMPOSIT 11""X1",$0.00,1.25
"HANDHOLE COMPOSIT 18"" X",$0.00,1.70
"concrete manhole base, ",,
"36"" X 36"" X 36"" MANHOLE",$0.00,2.40
"48"" X 48"" X 48"" MANHOLE",$0.00,4.00
"48"" X 60"" X 48"" MANHOLE",$0.00,4.80
"36"" X 36"" LID",$0.00,1.00
"48"" X 48"" LID",$0.00,1.60
"48"" X 60"" LID",$0.00,2.80
"24"" COVER",$0.00,0.80
"36"" COVER",$0.00,0.80
"concrete manhole base, ",,
4' X 6'  MANHOLE BASE,$0.00,4.80
6' X 8'  MANHOLE BASE,$0.00,6.40
8' X 10'  MANHOLE BASE,$0.00,8.00
4' X 4' X 6' RISER,$0.00,3.20
6' X 6' X 8' RISER,$0.00,4.00
6' X 6' X 10' RISER,$0.00,4.80
4' X 6' LID,$0.00,1.60
6' X 8' LID,$0.00,2.40
8' X 10' LID,$0.00,3.20
manhole racks in manhol,,
4' LONG RACK W/SADDLE &,$0.00,1.60
6' LONG RACK W/SADDLE &,$0.00,2.40
8' LONG RACK W/SADDLE &,$0.00,3.20
3 section prefab conc m,,
4' X 6'  DEEP 3 SECT PR,$0.00,6.40
4' X 8'  DEEP 3 SECT PR,$0.00,7.20
4' X 10'  DEEP 3 SECT P,$0.00,8.00
4' X 12'  DEEP 3 SECT P,$0.00,8.80
5' X 6'  DEEP 3 SECT PR,$0.00,7.20
5' X 8'  DEEP 3 SECT PR,$0.00,8.00
5' X 10'  DEEP 3 SECT P,$0.00,8.80
5' X 12'  DEEP 3 SECT P,$0.00,9.60
6' X 6'  DEEP 3 SECT PR,$0.00,8.00
6' X 8'  DEEP 3 SECT PR,$0.00,8.80
6' X 10'  DEEP 3 SECT P,$0.00,9.60
6' X 12'  DEEP 3 SECT P,$0.00,10.40
saw cut,,
"SAW CUT  1"" DEEP",,0.0056
"SAW CUT  2"" DEEP",,0.011
"SAW CUT  3"" DEEP",,0.016
"SAW CUT  4"" DEEP",,0.022
"SAW CUT  5"" DEEP",,0.027
"SAW CUT  6"" DEEP",,0.033
chipping,,
CHIPPING PER (CU-IN-FT),,0.027
chasing,,
"1"" CHASE FLOOR",,0.027
"2"" CHASE FLOOR",,0.055
"3"" CHASE FLOOR",,0.083
"4"" CHASE FLOOR",,0.111
"5"" CHASE FLOOR",,0.138
"6"" CHASE FLOOR",,0.166
roto-hammer concrete,,
3/4X8 ROTO-HAMMER CONCR,,0.45
1X8 ROTO-HAMMER CONCRET,,0.50
1 1/4X8 ROTO-HAMMER CON,,0.65
core-drill concrete w/l,,
3/4X8 CORE-DRILL CONCRE,,0.95
1X8 CORE-DRILL CONCRETE,,0.95
1 1/4X8 CORE-DRILL CONC,,0.95
1 1/2X8 CORE-DRILL CONC,,1.00
2X8 CORE-DRILL CONCRETE,,1.00
2 1/2X8 CORE-DRILL CONC,,1.05
3X8 CORE-DRILL CONCRETE,,1.05
4X8 CORE-DRILL CONCRETE,,1.15
5X8 CORE-DRILL CONCRETE,,1.25
6X8 CORE-DRILL CONCRETE,,1.25
8X8 CORE-DRILL CONCRETE,,1.35
10X8 CORE-DRILL CONCRET,,1.50
12X8 CORE-DRILL CONCRET,,1.65
14X8 CORE-DRILL CONCRET,,1.80
cutting,,
ASPHALT CUTTING,,0.011
CONCRETE CUTTING,,0.14
CONCRETE,,0.61
SAND,,0.56
GRAVEL,,0.56
DUCT CHAIRS,,0.03
rebar,,
REBAR #3 $0.26/FT,$0.44,0.015
REBAR #4 $0.43/FT,$0.72,0.017
REBAR #5 $0.70/FT,$1.16,0.019
REBAR #8 QUOTE,,0.022
"REBAR #4 24"" HOOP",,0.083
"REBAR #4 30"" HOOP",,0.094
"REBAR #4 36"" HOOP",,0.111
"REBAR #4 40"" HOOP",,0.138
underground accessories,,
 #6 REBAR,,0.10
3000PSI CONCRETE,,2.00
 QUICK CRETE SACK,,2.00
RED CONCRETERed Concret,,0.50
CIVIL ELECT STUB UP,,10.00
SLURRY,,1.00
excavation,,
2'X2'X2' EXCAVATION,,1.60
3'X3'X3' EXCAVATION,,1.90
4'X4'X4' EXCAVATION,,2.20
4'X4'X6' EXCAVATION,,2.70
6'X6'X6' EXCAVATION,,3.30
6'X6'X8' EXCAVATION,,3.80
8'X8'X10' EXCAVATION,,4.40
10'X10'X10'EXCAVATION,,5.50
10'X10'X14'EXCAVATION,,6.60
12'X12'X14'EXCAVATION,,7.70
pvc duct excavation,,
3' DEEP X 2' WIDE EXCAV,,0.06
2' DEEP X 3' WIDE EXCAV,,0.06
2' DEEP X 4' WIDE EXCAV,,0.08
2' DEEP X 5' WIDE EXCAV,,0.1
2' DEEP X 6' WIDE EXCAV,,0.12
2' DEEP X 7' WIDE EXCAV,,0.14
2' DEEP X 8' WIDE EXCAV,,0.16
2' DEEP X 9' WIDE EXCAV,,0.18
2' DEEP X 10' WIDE EXCA,,0.2
4' DEEP X 2' WIDE EXCAV,,0.08
4' DEEP X 3' WIDE EXCAV,,0.12
4' DEEP X 4' WIDE EXCAV,,0.16
4' DEEP X 5' WIDE EXCAV,,0.2
4' DEEP X 6' WIDE EXCAV,,0.24
4' DEEP X 7' WIDE EXCAV,,0.28
4' DEEP X 8' WIDE EXCAV,,0.32
4' DEEP X 9' WIDE EXCAV,,0.35
4' DEEP X 10' WIDE EXCA,,0.4
6' DEEP X 2' WIDE EXCAV,,0.12
6' DEEP X 3' WIDE EXCAV,,0.18
6' DEEP X 4' WIDE EXCAV,,0.24
6' DEEP X 5' WIDE EXCAV,,0.3
6' DEEP X 6' WIDE EXCAV,,0.35
6' DEEP X 7' WIDE EXCAV,,0.4
6' DEEP X 8' WIDE EXCAV,,0.47
6' DEEP X 9' WIDE EXCAV,,0.5
6' DEEP X 10' WIDE EXCA,,0.6
8' DEEP X 2' WIDE EXCAV,,0.16
8' DEEP X 3' WIDE EXCAV,,0.24
8' DEEP X 4' WIDE EXCAV,,0.32
8' DEEP X 5' WIDE EXCAV,,0.4
8' DEEP X 6' WIDE EXCAV,,0.47
8' DEEP X 7' WIDE EXCAV,,0.55
8' DEEP X 8' WIDE EXCAV,,0.63
8' DEEP X 9' WIDE EXCAV,,0.7
8' DEEP X 10' WIDE EXCA,,0.79
trenching quoted w/stan,,
 6X18 TRENCH QUOTED W/S,,0.0216
 6X24 TRENCH QUOTED W/S,,0.0288
 6X30 TRENCH QUOTED W/S,,0.0342
12X24 TRENCH QUOTED W/S,,0.046
12X30 TRENCH QUOTED W/S,,0.054
12X36 TRENCH QUOTED W/S,,0.0562
18X24 TRENCH QUOTED W/S,,0.0562
18X30 TRENCH QUOTED W/S,,0.0594
18X36 TRENCH QUOTED W/S,,0.0648
24X24 TRENCH QUOTED W/S,,0.0633
24X30 TRENCH QUOTED W/S,,0.072
24X36 TRENCH QUOTED W/S,,0.0778
30X30 TRENCH QUOTED W/S,,0.0785
30X36 TRENCH QUOTED W/S,,0.0864
30X48 TRENCH QUOTED W/S,,0.1152
36X36 TRENCH QUOTED W/S,,0.1036
36X48 TRENCH QUOTED W/S,,0.1296
36X60 TRENCH QUOTED W/S,,0.1404
48X48 TRENCH QUOTED W/S,,0.1498
48X60 TRENCH QUOTED W/S,,0.288
48X72 TRENCH QUOTED W/S,,0.3456
trenching & backfill by,,
"8""W X 24""D HAND TRENCH",,0.2
"12""W X 36""D HAND TRENCH",,0.41
"18""W X 36""D HAND TRENCH",,0.58
"24""W X 42""D HAND TRENCH",,0.9
trenching & backfill by,,
"4""W X 30""D MACHINE TREN",,0.032
"4""W X 42""D MACHINE TREN",,0.037
"8""W X 30""D MACHINE TREN",,0.045
"8""W X 42""D MACHINE TREN",,0.058
"12""W X 42""D MACHINE TRE",,0.072
"16""W X 42""D MACHINE TRE",,0.086
"24""W X 42""D MACHINE TRE",,0.104
"24""W X 48""D MACHINE TRE",,0.113
"24""W X 60""D MACHINE TRE",,0.132
"36""W X 60""D MACHINE TRE",,0.165
trenching & backfill st,,
1' - 25' TRENCH STANDBY,,0.0085
26' - 100' TRENCH STAND,,0.012
101' - 250' TRENCH STAN,,0.022
250' + TRENCH STANDBY T,,0.03
hand haul away hrs/yd,,
HAND HAUL AWAY HRS/YD,,2.40
machine haul away hrs/y,,
MACHINE HAUL AWAY HRS/Y,,0.35
backfill & compaction o,,
compaction,,
 6X18 BACKFILL-COMPACT,,0.022
 6X24 BACKFILL-COMPACT,,0.027
 6X30 BACKFILL-COMPACT,,0.033
12X24 BACKFILL-COMPACT,,0.044
12X30 BACKFILL-COMPACT,,0.055
12X36 BACKFILL-COMPACT,,0.066
18X24 BACKFILL-COMPACT,,0.055
18X30 BACKFILL-COMPACT,,0.066
18X36 BACKFILL-COMPACT,,0.077
24X24 BACKFILL-COMPACT,,0.088
24X30 BACKFILL-COMPACT,,0.099
24X36 BACKFILL-COMPACT,,0.111
30X30 BACKFILL-COMPACT,,0.133
30X36 BACKFILL-COMPACT,,0.155
30X48 BACKFILL-COMPACT,,0.199
36X36 BACKFILL-COMPACT,,0.177
36X48 BACKFILL-COMPACT,,0.222
36X60 BACKFILL-COMPACT,,0.266
48X48 BACKFILL-COMPACT,,0.277
48X60 BACKFILL-COMPACT,,0.333
48X72 BACKFILL-COMPACT,,0.388
hand excavation of smal,,
"6"" X 18"" DEEP SANDY SOI",,0.033
"9"" X 18"" DEEP SANDY SOI",,0.042
"12"" X 18"" DEEP SANDY SO",,0.05
"12"" X 24"" DEEP SANDY SO",,0.074
"12"" X 30"" DEEP SANDY SO",,0.099
"18"" X 36"" DEEP SANDY SO",,0.17
"6"" X 18"" DEEP CLAY SOIL",,0.05
"9"" X 18"" DEEP CLAY SOIL",,0.067
"12"" X 18"" DEEP CLAY SOI",,0.082
"12"" X 24"" DEEP CLAY SOI",,0.13
"12"" X 30"" DEEP CLAY SOI",,0.17
"18"" X 36"" DEEP CLAY SOI",,0.285
"6"" X 18"" DEEP LOOSE SHA",,0.065
"9"" X 18"" DEEP LOOSE SHA",,0.085
"12"" X 18"" DEEP LOOSE SH",,0.105
"12"" X 24"" DEEP LOOSE SH",,0.15
"12"" X 30"" DEEP LOOSE SH",,0.205
"18"" X 36"" DEEP LOOSE SH",,0.33
"6"" X 18"" DEEP ROCKY SOI",,0.085
"9"" X 18"" DEEP ROCKY SOI",,0.12
"12"" X 18"" DEEP ROCKY SO",,0.155
"12"" X 24"" DEEP ROCKY SO",,0.21
"12"" X 30"" DEEP ROCKY SO",,0.27
"18"" X 36"" DEEP ROCKY SO",,0.48
hand trim bottom mach e,,
"12"" TRIM BOTTOM SANDY S",,0.017
"18"" TRIM BOTTOM SANDY S",,0.025
"24"" TRIM BOTTOM SANDY S",,0.033
"36"" TRIM BOTTOM SANDY S",,0.05
"48"" TRIM BOTTOM SANDY S",,0.067
"60"" TRIM BOTTOM SANDY S",,0.085
"12"" TRIM BOTTOM SOFT CL",,0.025
"18"" TRIM BOTTOM SOFT CL",,0.033
"24"" TRIM BOTTOM SOFT CL",,0.042
"36"" TRIM BOTTOM SOFT CL",,0.067
"48"" TRIM BOTTOM SOFT CL",,0.085
"60"" TRIM BOTTOM SOFT CL",,0.11
"12"" TRIM BOTTOM HARD CL",,0.033
"18"" TRIM BOTTOM HARD CL",,0.042
"24"" TRIM BOTTOM HARD CL",,0.05
"36"" TRIM BOTTOM HARD CL",,0.074
"48"" TRIM BOTTOM HARD CL",,0.099
"60"" TRIM BOTTOM HARD CL",,0.125
"12"" TRIM BOTTOM SHALE T",,0.042
"18"" TRIM BOTTOM SHALE T",,0.05
"24"" TRIM BOTTOM SHALE T",,0.065
"36"" TRIM BOTTOM SHALE T",,0.085
"48"" TRIM BOTTOM SHALE T",,0.12
"60"" TRIM BOTTOM SHALE T",,0.15
"12"" TRIM BOTTOM ROCKY S",,0.052
"18"" TRIM BOTTOM ROCKY S",,0.059
"24"" TRIM BOTTOM ROCKY S",,0.076
"36"" TRIM BOTTOM ROCKY S",,0.102
"48"" TRIM BOTTOM ROCKY S",,0.133
"60"" TRIM BOTTOM ROCKY S",,0.175
shoring,,
 4'  DEEP SHORING,,0.28
 6'  DEEP SHORING,,0.36
 8'  DEEP SHORING,,0.44
10' DEEP SHORING,,0.56
12' DEEP SHORING,,0.67
14' DEEP SHORING,,0.89
shoring inst/re 3/4' pl,,
4' PLYWOOD SHORING BOTH,,0.32
6' PLYWOOD SHORING BOTH,,0.36
8' PLYWOOD SHORING BOTH,,0.40
10' PLYWOOD SHORING BOT,,0.45
shoring inst/re 3/4' pl,,
4' PLY+2X8 SHORING BOTH,,0.40
6' PLY+2X8 SHORING BOTH,,0.45
8' PLY+2X8 SHORING BOTH,,0.50
10' PLY+2X8 SHORING BOT,,0.50
shoring inst/re 2/12 ho,,
4' 2X12 HORZ+2X8 SHORIN,,0.40
6' 2X12 HORZ+2X8 SHORIN,,0.50
8' 2X12 HORZ+2X8 SHORIN,,0.55
10' 2X12 HORZ+2X8 SHORI,,0.65
shoring inst/re steel +,,
4' STEEL SHORING BOTH S,,0.25
6' STEEL SHORING BOTH S,,0.30
8' STEEL SHORING BOTH S,,0.35
10' STEEL SHORING BOTH ,,0.40
"3"" deep sand bedding",,
" 6"" WIDE 3"" DEEP SAND B",,0.027
"12"" WIDE 3"" DEEP SAND B",,0.044
"18"" WIDE 3"" DEEP SAND B",,0.055
"24"" WIDE 3"" DEEP SAND B",,0.066
"36"" WIDE 3"" DEEP SAND B",,0.083
"48"" WIDE 3"" DEEP SAND B",,0.099
"60"" WIDE 3"" DEEP SAND B",,0.122
"3"" deep concrete beddin",,
"3"" deep concr bedding",,
"12"" WIDE 3"" DEEP CONCR ",,0.066
"18"" WIDE 3"" DEEP CONCR ",,0.077
"24"" WIDE 3"" DEEP CONCR ",,0.088
"36"" WIDE 3"" DEEP CONCR ",,0.099
"48"" WIDE 3"" DEEP CONCR ",,0.116
"60"" WIDE 3"" DEEP CONCR ",,0.133
cu. yard trench poured ,,
CU. YARD TRENCH POURED ,$200.00,0.50
CU. YARD RE-INF TRENCH ,$275.00,3.00
cu. yard trench sand,,
CU. YARD TRENCH SAND $2,$40.00,0.50
conduit jacking,,
jacking,,
"1"" JACKING-SANDY SOIL",,0.09
"2"" JACKING-SANDY SOIL",,0.12
"3"" JACKING-SANDY SOIL",,0.14
"4"" JACKING-SANDY SOIL",,0.17
"6"" JACKING-SANDY SOIL",,0.20
"8"" JACKING-SANDY SOIL",,0.32
"1"" JACKING-CLAY",,0.12
"2"" JACKING-CLAY",,0.14
"3"" JACKING-CLAY",,0.17
"4"" JACKING-CLAY",,0.20
"6"" JACKING-CLAY",,0.25
"8"" JACKING-CLAY",,0.37
"1"" JACKING-LOOSE SHALE",,0.20
"2"" JACKING-LOOSE SHALE",,0.23
"3"" JACKING-LOOSE SHALE",,0.25
"4"" JACKING-LOOSE SHALE",,0.28
"6"" JACKING-LOOSE SHALE",,0.32
"8"" JACKING-LOOSE SHALE",,0.41
"1"" JACKING-PACKED SHALE",,0.26
"2"" JACKING-PACKED SHALE",,0.33
"3"" JACKING-PACKED SHALE",,0.36
"4"" JACKING-PACKED SHALE",,0.38
"6"" JACKING-PACKED SHALE",,0.41
"8"" JACKING-PACKED SHALE",,0.52
sonotube,,
" 8"" DIA 48"" HIGH SONOTU",$11.00,0.33
"10"" DIA 48"" HIGH SONOTU",$12.00,0.33
"12"" DIA 48"" HIGH SONOTU",$14.00,0.36
"16"" DIA 48"" HIGH SONOTU",$23.00,0.39
"20"" DIA 48"" HIGH SONOTU",,0.44
"24"" DIA 48"" HIGH SONOTU",,0.50
"30"" DIA 48"" HIGH SONOTU",,0.56
rebar in base,,
" 8"" X 48"" REBAR IN BASE",,0.56
"12"" X 48"" REBAR IN BASE",,0.69
"16"" X 48"" REBAR IN BASE",,0.83
"20"" X 48"" REBAR IN BASE",,1.10
"24"" X 48"" REBAR IN BASE",,1.30
"30"" X 48"" REBAR IN BASE",,1.60
concrete in tube $120/c,,
" 8""D X 48"" CONCR IN TUB",$10.50,0.36
"12""D X 48"" CONCR IN TUB",$24.00,0.39
"16""D X 48"" CONCR IN TUB",$42.00,0.44
"20""D X 48"" CONCR IN TUB",$64.00,0.50
"24""D X 48"" CONCR IN TUB",$94.50,0.56
"30""D X 48"" CONCR IN TUB",$146.00,0.69
housekeeping pad,,
"4""/SQ-FT PAD-HOUSEKEEP",,0.33
"6""/SQ-FT PAD-HOUSEKEEP",,0.44
"8""/SQ-FT PAD-HOUSEKEEP",,0.67
equipment pad,,
" 6""/SQ-FT PAD-EQUIP",,0.44
" 8""/SQ-FT PAD-EQUIP",,0.56
"12""/SQ-FT PAD-EQUIP",,0.78
"18""/SQ-FT PAD-EQUIP",,1.10
form both sides duct ba,,
"12"" FORM BOTH SIDES DUC",,0.111
"18"" FORM BOTH SIDES DUC",,0.133
"24"" FORM BOTH SIDES DUC",,0.15
"30"" FORM BOTH SIDES DUC",,0.177
"36"" FORM BOTH SIDES DUC",,0.199
"42"" FORM BOTH SIDES DUC",,0.21
"48"" FORM BOTH SIDES DUC",,0.222
"60"" FORM BOTH SIDES DUC",,0.266
carlon base/intermdiate,,
2X1-1/2 BASE SPACER,5.4808,0.015
2X1-1/2 INTRM SPACER,5.4751,0.016
2X2 BASE SPACER,5.1648,0.015
2X2 INTERM SPACER,5.2816,0.016
2X3 BASE SPACER,6.215,0.015
2X3 INTERM SPACER,6.0702,0.016
3X1-1/2 BASE SPACER,7.2621,0.0175
3X1-1/2 INTRM SPACER,7.3417,0.0185
3X2 BASE SPACER,6.7806,0.0175
3X2 INTERM SPACER,7.0168,0.0185
3X3 BASE SPACER,7.0186,0.0175
3X3 INTERM SPACER,7.4661,0.0185
4X1 BASE SPACER,7.431,0.025
4X1 INTERM SPACER,7.5617,0.0265
4X1-1/2 BASE SPACER,7.078,0.025
4X1-1/2 INTRM SPACER,7.5686,0.0265
4X2 BASE SPACER,6.4602,0.025
4X2 INTERM SPACER,6.334,0.0265
4X3 BASE SPACER,7.2398,0.025
4X3 INTERM SPACER,6.986,0.0265
5X1-1/2 BASE SPACER,7.9893,0.033
5X1-1/2 INTRM SPACER,8.1019,0.035
5X2 BASE SPACER,7.7864,0.033
5X2 INTERM SPACER,7.5935,0.035
5X3 BASE SPACER,8.8106,0.033
5X3 INTERM SPACER,8.0732,0.035
6X1-1/2 BASE SPACER,9.9903,0.0385
6X1-1/2 INTRM SPACER,12.9301,0.041
6X2 BASE SPACER,9.9904,0.0385
6X2 INTERM SPACER,10.0236,0.041
6X3 BASE SPACER,11.451,0.0385
6X3 INTERM SPACER,11.3932,0.041
hole auger,,
auger holes,,
augering,,
 3' DEEP AUGER-SANDY SO,,0.44
 4' DEEP AUGER-SANDY SO,,0.50
 6' DEEP AUGER-SANDY SO,,0.61
 8' DEEP AUGER-SANDY SO,,0.89
10' DEEP AUGER-SANDY SO,,1.20
12' DEEP AUGER-SANDY SO,,1.60
14' DEEP AUGER-SANDY SO,,2.00
16' DEEP AUGER-SANDY SO,,2.50
 3' DEEP AUGER-SOFT CLA,,0.45
 4' DEEP AUGER-SOFT CLA,,0.50
 6' DEEP AUGER-SOFT CLA,,0.70
 8' DEEP AUGER-SOFT CLA,,1.05
10' DEEP AUGER-SOFT CLA,,1.20
12' DEEP AUGER-SOFT CLA,,1.80
14' DEEP AUGER-SOFT CLA,,2.50
16' DEEP AUGER-SOFT CLA,,3.20
 3' DEEP AUGER-HARD CLA,,0.50
 4' DEEP AUGER-HARD CLA,,0.56
 6' DEEP AUGER-HARD CLA,,0.72
 8' DEEP AUGER-HARD CLA,,1.10
10' DEEP AUGER-HARD CLA,,1.30
12' DEEP AUGER-HARD CLA,,1.80
14' DEEP AUGER-HARD CLA,,2.50
16' DEEP AUGER-HARD CLA,,3.20
 3' DEEP AUGER-SHALE,,0.56
 4' DEEP AUGER-SHALE,,0.61
 6' DEEP AUGER-SHALE,,0.78
 8' DEEP AUGER-SHALE,,1.20
10' DEEP AUGER-SHALE,,1.60
12' DEEP AUGER-SHALE,,2.20
14' DEEP AUGER-SHALE,,3.00
16' DEEP AUGER-SHALE,,4.00
tools,,
ko punches,,
1/2TO1-1/4 COND PUNCH B,$305.00,0.00
1-1/2&2    COND PUNCH B,$290.15,0.00
2-1/2      COND PUNCH S,$359.07,0.00
3-IN       COND PUNCH S,$441.10,0.00
3-1/2      COND PUNCH S,$771.48,0.00
4-IN       COND PUNCH S,$864.44,0.00
5-IN       COND PUNCH S,"$1,499.00",0.00
1/2 KO PUNCH      B,$40.60,0.00
1/2 COND DIE      B,$18.35,0.00
3/4   KO PUNCH B,$44.37,0.00
3/4   KO DIE   B,$21.05,0.00
1-IN  KO PUNCH B,$53.73,0.00
1-IN  KO DIE   B,$24.80,0.00
1-1/4 KO PUNCH B,$64.78,0.00
1-1/4 KO DIE   B,$30.35,0.00
1-1/2 KO PUNCH B,$83.85,0.00
1-1/2 KO DIE   B,$45.00,0.00
2-IN  KO PUNCH B,$107.78,0.00
2-IN  KO DIE   B,$59.10,0.00
2-1/2 KO PUNCH B,$136.80,0.00
2-1/2 KO DIE   B,$103.20,0.00
3/8 SCR F/PUNCH B,$36.75,0.00
3/4 SCR F/PUNCH B 05640,$90.35,0.00
3/4 SCR F/PUNCH B 304AV,$41.45,0.00
end electrical  databas,,
Automated  Building Sys,,
special systems,,
generic fire equip,,
generic fa control pane,,
FACP UP TO 8 ZONE HARDW,,3.20
INTEGRATED DIGITAL COMM,,0.75
REMOTE TROUBLE TEST SWI,,0.75
generic fa annunciator ,,
FA UP TO 8 ZONE ANNUNCI,,2.50
generic fa control pane,,
FA  RELAY MODULE,,0.70
FA 4-CIRCUIT SIGNAL MOD,,0.70
FA PANEL-MOUNT CONTROL ,,0.90
FA 6A POWER SUPPLY,,1.50
FA VOICE TELEPHONE COMM,,1.50
FA MASTER FIREFIGHTER T,,1.50
FA AMPLIFIER,,1.50
FA ADDRESSABLE LOOP MOD,,0.75
FA AUDIO MESSAGE GENERA,,0.75
FA REMOTE LCD ANNUNCIAT,,1.50
generic fa initiating d,,
FA MANUAL STATION NON-C,,0.40
FA MANUAL STATION CODED,,0.40
FA MANUAL STATION ADDRE,,0.40
FA GUARD FOR DEVICES,,0.50
FA DETECTOR BASE,,0.50
FA DETECTOR HEAD,,0.15
FA RATE OF RISE DETECTO,,0.15
FA SMOKE DETECTOR,,0.15
FA HEAT DETECTOR,,0.15
FA ADDRESSABLE BASE,,0.50
FA ADDRESSABLE HEAD,,0.15
FA ADDRESSABLE SMOKE DE,,0.25
FA ADDRESSABLE HEAT DET,,0.25
FA DUCT SMOKE DETECTOR,,1.50
FA DUCT SMOKE DET TEST ,,0.65
FA DUCT SMOKE DET REMOT,,0.33
FA BEAM DET TRANSMITTER,,3.20
FA ADDRESSABLE POINT ID,,0.50
FA EXPL-PROOF HEAT DET ,,1.05
FA EXPL-PROOF SMOKE DET,,1.05
FA EXPL-PRF MANUAL STA ,,0.90
"FA FLOW SWITCH, NO PLUM",,0.95
"FA TAMPER SWITCH, NO PL",,0.95
"FA PRESSURE SWITCH, NO ",,1.20
generic fa signaling,,
FA BELL,,0.60
FA STROBE LIGHT,,0.60
FA BELL/STROBE,,0.60
FA CHIME,,0.60
FA CHIME/STROBE,,0.60
FA HORN/STROBE,,0.60
"FA SPEAKER, 8"" CEILING",,0.80
"FA SPEAKER, 4"" WALL",,0.60
FA SPEAKER/STROBE,,0.60
FA FIRE FIGHTERS PHONE,,1.00
FA FIRE FIGHTERS JACK,,0.40
FA REMOTE POWER SUPPLY,,2.00
FA MASS NOTIFICATION - ,,0.60
FA MASS NOTIFICATION - ,,0.60
generic fa miscellaneou,,
FA WATERPROOF BACK BOX,,0.40
FA SEMI-FLUSH CONTROL R,,0.60
FA ADDRESSABLE CONTROL ,,0.60
FA MAGNETIC DOOR HOLDER,,0.80
FA 4 SPDT RELAY SURFACE,,0.75
FA PRINTER,,1.20
FA REMOTE POWER SUPPLY,,2.00
generic fa cable,,
18/2 RED FIRE ALARM CAB,,0.0096
16/2 RED FIRE ALARM CAB,,0.0128
14/2 RED FIRE ALARM CAB,,0.016
16/4 RED FIRE ALARM CAB,,0.016
18/1PR ALARM CBL,,0.0096
18/2PR ALARM CBL,,0.0128
16/1PR ALARM CBL,,0.0128
16/2PR ALARM CBL,,0.016
14/1PR ALARM CBL,,0.016
14/2PR ALARM CBL,,0.0192
12/1PR ALARM CBL,,0.0192
edwards fire alarm,,
fa edwards annunciator,,
