level1,level2,level3,assmNum,assmName
,,,3373,5' drop n500 emt s/c strap
,,,3379,5' drop n600 emt s/c strap
,,,3385,5' drop n750 emt s/c strap
,,,3391,n14 emt s/c/i strap
,,,3400,n12 emt s/c/i strap
,,,3409,n10 emt s/c/i strap
,,,3418,n8 emt s/c/i strap
,,,3425,n6 emt s/c/i strap
,,,3432,n4 emt s/c/i strap
,,,3439,n2 emt s/c/i strap
,,,3453,emt d/s rack
,,,3467,n14 emt d/s racks
,,,3476,n12 emt d/s rack
,,,3485,n10 emt d/s racks
,,,3494,n8 emt d/s rack
,,,3501,n6 emt d/s rack
,,,3507,n4 emt d/s racks
,,,3512,d/s feeder rack w/wire
,,,3513,n3 emt d/s rack
,,,3519,n2 emt d/s rack
,,,3525,n1 emt d/s rack
,,,3531,n1/0 emt d/s rack
,,,3537,n2/0 emt d/s rack
,,,3543,n3/0 emt d/s rack
,,,3549,n4/0 emt d/s rack
,,,3555,n250 emt d/s rack
,,,3561,n300 emt d/s rack
,,,3567,n350 emt d/s rack
,,,3573,n400 emt d/s rack
,,,3579,n500 emt d/s rack
,,,3585,n600 emt d/s rack
,,,3591,n750 emt d/s rack
,,,3599,n14 emt d/s i racks
,,,3608,n12 emt d/s i rack
,,,3617,n10 emt d/s/i racks
,,,3626,n8 emt d/s/i racks
,,,3633,n6 emt d/s/i racks
,,,3640,n4 emt d/s/i rack
,,,3647,n2 emt d/s/i rack
,,,3655,emt d/c rack
,,,3668,n14 emt d/c racks
,,,3677,n12 emt d/c racks
,,,3686,n10 emt d/c racks
,,,3695,n8 emt d/c racks
,,,3702,n6 emt d/c racks
,,,3708,n4 emt d/c racks
,,,3713,d/c feeder rack w/wire
,,,3714,n3 emt d/c rack
,,,3720,n2 emt d/c rack
,,,3726,n1 emt d/c rack
,,,3732,n1/0 emt d/c rack
,,,3738,n2/0 emt d/c rack
,,,3744,n3/0 emt d/c rack
,,,3750,n4/0 emt d/c rack
,,,3756,n250 emt d/c rack
,,,3762,n300 emt d/c rack
,,,3768,n350 emt d/c rack
,,,3774,n400 emt d/c rack
,,,3780,n500 emt d/c rack
,,,3786,n600 emt d/c rack
,,,3792,n750 emt d/c rack
,,,3800,n14 emt d/c/i rack
,,,3809,n12 emt d/c/i rack
,,,3818,n10 emt d/c/i rack
,,,3827,n8 emt d/c/i racks
,,,3834,n6 emt d/c/i racks
,,,3841,n4 emt d/c/i racks
,,,3848,n2 emt d/c/i racks
,,,3856,emt s/s rack
,,,3868,n14 emt s/s racks
,,,3878,n12 emt s/s racks
,,,3887,n10 emt s/s racks
,,,3896,n8 emt s/s racks
,,,3903,n6 emt s/s racks
,,,3909,n4 emt s/s racks
,,,3914,s/s emt feeder rack w/wire
,,,3915,n3 emt s/s rack
,,,3921,n2 emt s/s rack
,,,3927,n1 emt s/s rack
,,,3933,n1/0 emt s/s rack
,,,3939,n2/0 emt s/s rack
,,,3945,n3/0 emt s/s rack
,,,3951,n4/0 emt s/s rack
,,,3957,n250 emt s/s rack
,,,3963,n300 emt s/s rack
,,,3969,n350 emt s/s rack
,,,3975,n400 emt s/s rack
,,,3981,n500 emt s/s rack
,,,3987,n600 emt s/s rack
,,,3993,n750 emt s/s rack
,,,4001,n14 emt s/s/i racks
,,,4010,n12 emt s/s/i racks
,,,4019,n10 emt s/s/i racks
,,,4028,n8 emt s/s/i racks
,,,4035,n6 emt s/s/i racks
,,,4042,n4 emt s/s/i racks
,,,4049,n2 emt s/s/i racks
,,,4057,emt s/c rack
,,,4070,n14 emt s/c racks
,,,4079,n12 emt s/c racks
,,,4088,n10 emt s/c racks
,,,4097,n8 emt s/c racks
,,,4104,n6 emt s/c racks
,,,4110,n4 emt s/c racks
,,,4115,s/c emt feeder rack w/wire
,,,4116,n3 emt s/c rack
,,,4122,n2 emt s/c rack
,,,4128,n1 emt s/c rack
,,,4134,n1/0 emt s/c rack
,,,4140,n2/0 emt s/c rack
,,,4146,n3/0 emt s/c rack
,,,4152,n4/0 emt s/c rack
,,,4158,n250 emt s/c rack
,,,4164,n300 emt s/c rack
,,,4170,n350 emt s/c rack
,,,4176,n400 emt s/c rack
,,,4182,n500 emt s/c rack
,,,4188,n600 emt s/c rack
,,,4194,n750 emt s/c rack
,,,4202,n14 emt s/c/i racks
,,,4211,n12 emt s/c/i racks
,,,4220,n10 emt s/c/i racks
,,,4229,n8 emt s/c/i racks
,,,4236,n6 emt s/c/i racks
,,,4243,n4 emt s/c/i racks
,,,4250,n2 emt s/c/i racks
,,,4257,n14 emt d/s 3/4 strap
,,,4266,n12 emt d/s 3/4 strap
,,,4275,n14 emt d/c 3/4 strap
,,,4284,n12 emt d/c 3/4 strap
,,,4293,n14 emt s/s 3/4 strap
,,,4302,n12 emt s/s 3/4 strap
,,,4311,n14 emt s/c 3/4 strap
,,,4320,n12 emt s/c 3/4 strap
,,,4330,n14 emt d/s 3/4 concrete
,,,4339,n12 emt d/s 3/4 concrete
,,,4348,n14 emt d/c 3/4 concrete
,,,4357,n12 emt d/c 3/4 concrete
,,,4366,n14 emt s/s 3/4 concrete
,,,4375,n12 emt s/s 3/4 concrete
,,,4384,n14 emt s/c 3/4 concrete
,,,4393,n12 emt s/c 3/4 concrete
,,,4403,n14 emt d/s 3/4 rack
,,,4412,n12 emt d/s 3/4 rack
,,,4421,n14 emt d/c 3/4 rack
,,,4430,n12 emt d/c 3/4 rack
,,,4439,n14 emt s/s 3/4 rack
,,,4448,n12 emt s/s 3/4 rack
,,,4457,n14 emt s/c 3/4 rack
,,,4466,n12 emt s/c 3/4 rack
,,,4476,n14 emt d/s 3/4 beam clamp
,,,4485,n12 emt d/s 3/4 beam clamp
,,,4494,n14 emt d/c 3/4 beam clamp
,,,4503,n12 emt d/c 3/4 beam clamp
,,,4512,n14 emt s/s 3/4 beam clamp
,,,4521,n12 emt s/s 3/4 beam clamp
,,,4530,n14 emt s/c 3/4 beam clamp
,,,4539,n12 emt s/c 3/4 beam clamp
,,,4548,liquidtight flex
,,,4549,wp flex exposed
