Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,344",3 1/2 GRC COUPLING,,,,2.00,,,0.00,,"$9,229.20",,,C,12.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,011",,3 1/2 LN-GRNDG BUSH,,,,$136.31, ,,1.043,, ,$151.18,,, ,,$170.08,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,594",3 1/2 LOCKNUT,,,,2.00,,,0.00,,"$3,608.69",,,C,33.53,,C,,,,
,"4,723",3 1/2 BUSH INSUL MAL GR,,,,1.00,,,0.00,,"$6,414.10",,,C,37.23,,C,,,,
,"6,012",,3 1/2 MEYERS HUB,,,,$119.27, ,,0.394,, ,$114.86,,, ,,$129.22,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,933",1 1/4 SS316 3-PIECE UNI,,,,1.00,,,0.00,,$99.62,,,E,25.00,,C,,,,
,"4,664",3 1/2 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,965.00",,,C,14.40,,C,,,,
,"6,013",,3 1/2 ERICKSON,,,,$580.42, ,,0.500,, ,$511.32,,, ,,$575.24,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,925",3 1/2 3 PIECE UNION,,,,1.00,,,0.00,,$580.42,,,E,0.50,,E,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,014",,3 1/2 SPLIT COUPLING,,,,$162.59, ,,0.500,, ,$155.33,,, ,,$174.75,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,949",3 1/2 SPLIT COUPLING,,,,1.00,,,0.00,,$162.59,,,E,0.50,,E,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,015",,3 1/2 LB CONDULET,,,,$378.22, ,,1.400,, ,$369.28,,, ,,$415.44,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"3,822",3 1/2 GRC LB BODY,,,,1.00,,,0.00,,$326.12,,,E,1.40,,E,,,,
,"4,103",3 1/2 - 4  GRC FLAT COV,,,,1.00,,,0.00,,$40.53,,,E,0.00,,X,,,,
,"4,112",2-1/2&3 COND BODY GASK,,,,1.00,,,0.00,,$11.56,,,E,0.00,,X,,,,
,"6,016",,3 1/2 T CONDULET,,,,$551.12, ,,1.500,, ,$519.95,,, ,,$584.95,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"3,834",3 1/2 GRC T BODY,,,,1.00,,,0.00,,$499.03,,,E,1.50,,E,,,,
,"4,112",2-1/2&3 COND BODY GASK,,,,1.00,,,0.00,,$11.56,,,E,0.00,,X,,,,
,"4,103",3 1/2 - 4  GRC FLAT COV,,,,1.00,,,0.00,,$40.53,,,E,0.00,,X,,,,
,"6,017",,3 1/2 CHASE NIPPLE,,,,$180.84, ,,0.619,, ,$174.88,,, ,,$196.74,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,594",3 1/2 LOCKNUT,,,,1.00,,,0.00,,"$3,608.69",,,C,33.53,,C,,,,
,"4,962",3 1/2 CHASE NIPPLE,,,,1.00,,,0.00,,"$12,509.95",,,C,14.00,,C,,,,
,"4,664",3 1/2 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,965.00",,,C,14.40,,C,,,,
,"6,020",,imc 4,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"6,021",,    4 IMC,,,,$52.77, ,,0.150,, ,$50.00,,, ,,$56.25,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,309",    4 IMC,,,,1.00,,,0.00,,"$5,277.23",,,C,15.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,022",,    4 IMC    (STRAP),,,,$68.89, ,,0.156,, ,$63.94,,, ,,$71.93,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,285",    4 GRC 1H MAL STP,,,,0.13,,,0.00,,"$12,890.43",,,C,5.00,,C,,,,
,"2,309",    4 IMC,,,,1.00,,,0.00,,"$5,277.23",,,C,15.00,,C,,,,
,"6,023",,    4 IMC    STRAP,,,,$55.06, ,,0.176,, ,$52.83,,, ,,$59.43,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,309",    4 IMC,,,,1.00,,,0.00,,"$5,277.23",,,C,15.00,,C,,,,
,"6,077",HEX LAG BLT 1/2X2-1/2,,,,0.25,,,0.00,,$54.59,,,C,8.00,,C,,,,
,"5,912","1/2"" FLAT STEEL WASHER",,,,0.25,,,0.00,,$258.12,,,C,0.00,,X,,,,
,"5,311",    4 GRC 2H STL STP,,,,0.13,,,0.00,,"$1,201.57",,,C,5.00,,C,,,,
,"6,024",,    4 IMC    (CONCRETE),,,,$69.02, ,,0.180,, ,$64.86,,, ,,$72.96,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,309",    4 IMC,,,,1.00,,,0.00,,"$5,277.23",,,C,15.00,,C,,,,
,"5,725",1/2-13 X 2 CAP SCREW,,,,0.13,,,0.00,,$26.71,,,C,0.00,,X,,,,
,"5,285",    4 GRC 1H MAL STP,,,,0.13,,,0.00,,"$12,890.43",,,C,5.00,,C,,,,
,"5,981",1/2 MACHINE BOLT ANCH,,,,0.13,,,0.00,,$49.18,,,C,19.00,,C,,,,
,"5,913","5/8"" FLAT STEEL WASHER",,,,0.13,,,0.00,,$34.73,,,C,0.00,,X,,,,
,"6,025",,    4 IMC    (RACK),,,,$53.77, ,,0.165,, ,$51.36,,, ,,$57.78,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,309",    4 IMC,,,,1.00,,,0.00,,"$5,277.23",,,C,15.00,,C,,,,
,"5,323",    4 GRC CHNL STRAP,,,,0.13,,,0.00,,$797.89,,,C,12.00,,C,,,,
,"6,026",,    4 IMC    (BC/MIN),,,,$56.51, ,,0.224,, ,$55.67,,, ,,$62.63,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,309",    4 IMC,,,,1.00,,,0.00,,"$5,277.23",,,C,15.00,,C,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,0.20,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,0.20,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"7,652",    4 CONDUIT HANGER,,,,0.20,,,0.00,,$8.93,,,E,15.00,,C,,,,
,"6,027",,    4 LN-BUSH,,,,$74.74, ,,0.968,, ,$96.21,,, ,,$108.23,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,595",    4 LOCKNUT,,,,2.00,,,0.00,,"$2,792.78",,,C,40.25,,C,,,,
,"4,665",    4 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,888.91",,,C,16.30,,C,,,,
,"6,028",,    4 IMC BEND,,,,$0.00, ,,1.750,, ,$58.80,,, ,,$66.15,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,333",    4 IMC BEND,,,,1.00,,,0.00,,$0.00,,,X,175.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,029",,    4 IMC BEND  STRAP,,,,$18.27, ,,1.960,, ,$81.42,,, ,,$91.60,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,333",    4 IMC BEND,,,,1.00,,,0.00,,$0.00,,,X,175.00,,C,,,,
,"6,077",HEX LAG BLT 1/2X2-1/2,,,,2.00,,,0.00,,$54.59,,,C,8.00,,C,,,,
,"5,912","1/2"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
,"5,311",    4 GRC 2H STL STP,,,,1.00,,,0.00,,"$1,201.57",,,C,5.00,,C,,,,
,"6,030",,    4 IMC BEND  (CONCRETE),,,,$41.77, ,,1.990,, ,$102.45,,, ,,$115.26,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,333",    4 IMC BEND,,,,1.00,,,0.00,,$0.00,,,X,175.00,,C,,,,
,"5,725",1/2-13 X 2 CAP SCREW,,,,1.00,,,0.00,,$26.71,,,C,0.00,,X,,,,
,"5,266",    4 GRC 1H STL STP,,,,1.00,,,0.00,,"$4,066.51",,,C,5.00,,C,,,,
,"5,981",1/2 MACHINE BOLT ANCH,,,,1.00,,,0.00,,$49.18,,,C,19.00,,C,,,,
,"5,913","5/8"" FLAT STEEL WASHER",,,,1.00,,,0.00,,$34.73,,,C,0.00,,X,,,,
,"6,031",,    4 IMC BEND  (RACK),,,,$7.98, ,,1.870,, ,$69.63,,, ,,$78.33,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,333",    4 IMC BEND,,,,1.00,,,0.00,,$0.00,,,X,175.00,,C,,,,
,"5,323",    4 GRC CHNL STRAP,,,,1.00,,,0.00,,$797.89,,,C,12.00,,C,,,,
,"6,032",,    4 IMC BEND  (BC/MIN),,,,$18.67, ,,2.120,, ,$87.14,,, ,,$98.04,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"7,652",    4 CONDUIT HANGER,,,,1.00,,,0.00,,$8.93,,,E,15.00,,C,,,,
,"2,333",    4 IMC BEND,,,,1.00,,,0.00,,$0.00,,,X,175.00,,C,,,,
,"6,033",,    4 IMC 90,,,,$393.33, ,,1.260,, ,$377.45,,, ,,$424.63,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,321",    4 IMC 90 ELBOW,,,,1.00,,,0.00,,$209.70,,,E,1.00,,E,,,,
,"2,345",    4 GRC COUPLING,,,,2.00,,,0.00,,"$9,181.20",,,C,13.00,,C,,,,
,"6,034",,    4 IMC 90  STRAP,,,,$411.60, ,,1.470,, ,$400.07,,, ,,$450.08,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,321",    4 IMC 90 ELBOW,,,,1.00,,,0.00,,$209.70,,,E,1.00,,E,,,,
,"2,345",    4 GRC COUPLING,,,,2.00,,,0.00,,"$9,181.20",,,C,13.00,,C,,,,
,"5,311",    4 GRC 2H STL STP,,,,1.00,,,0.00,,"$1,201.57",,,C,5.00,,C,,,,
,"6,077",HEX LAG BLT 1/2X2-1/2,,,,2.00,,,0.00,,$54.59,,,C,8.00,,C,,,,
,"5,912","1/2"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
,"6,035",,    4 IMC 90  (CONCRETE),,,,$435.10, ,,1.500,, ,$421.10,,, ,,$473.74,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,725",1/2-13 X 2 CAP SCREW,,,,1.00,,,0.00,,$26.71,,,C,0.00,,X,,,,
,"5,266",    4 GRC 1H STL STP,,,,1.00,,,0.00,,"$4,066.51",,,C,5.00,,C,,,,
,"2,321",    4 IMC 90 ELBOW,,,,1.00,,,0.00,,$209.70,,,E,1.00,,E,,,,
,"2,345",    4 GRC COUPLING,,,,2.00,,,0.00,,"$9,181.20",,,C,13.00,,C,,,,
,"5,981",1/2 MACHINE BOLT ANCH,,,,1.00,,,0.00,,$49.18,,,C,19.00,,C,,,,
,"5,913","5/8"" FLAT STEEL WASHER",,,,1.00,,,0.00,,$34.73,,,C,0.00,,X,,,,
,"6,036",,    4 IMC 90  (RACK),,,,$401.31, ,,1.380,, ,$388.28,,, ,,$436.82,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,321",    4 IMC 90 ELBOW,,,,1.00,,,0.00,,$209.70,,,E,1.00,,E,,,,
,"2,345",    4 GRC COUPLING,,,,2.00,,,0.00,,"$9,181.20",,,C,13.00,,C,,,,
,"5,323",    4 GRC CHNL STRAP,,,,1.00,,,0.00,,$797.89,,,C,12.00,,C,,,,
,"6,037",,    4 IMC 90  (BC/MIN),,,,$412.00, ,,1.630,, ,$405.79,,, ,,$456.52,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"2,321",    4 IMC 90 ELBOW,,,,1.00,,,0.00,,$209.70,,,E,1.00,,E,,,,
,"2,345",    4 GRC COUPLING,,,,2.00,,,0.00,,"$9,181.20",,,C,13.00,,C,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"7,652",    4 CONDUIT HANGER,,,,1.00,,,0.00,,$8.93,,,E,15.00,,C,,,,
,"6,038",,    4 GRC COUPLING,,,,$183.62, ,,0.260,, ,$165.18,,, ,,$185.83,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,345",    4 GRC COUPLING,,,,2.00,,,0.00,,"$9,181.20",,,C,13.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,039",,    4 GRNDG LN-BUSH,,,,$122.15, ,,1.000,, ,$137.67,,, ,,$154.88,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,595",    4 LOCKNUT,,,,1.00,,,0.00,,"$2,792.78",,,C,40.25,,C,,,,
,"4,665",    4 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,888.91",,,C,16.30,,C,,,,
,"4,622",    4 GRNDG LOCKNUT,,,,1.00,,,0.00,,"$7,533.63",,,C,43.45,,C,,,,
,"6,040",,    4 LN-GRNDG BUSH,,,,$137.47, ,,1.247,, ,$159.03,,, ,,$178.91,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,595",    4 LOCKNUT,,,,2.00,,,0.00,,"$2,792.78",,,C,40.25,,C,,,,
,"4,724",    4 BUSH INSUL MAL GR,,,,1.00,,,0.00,,"$8,160.98",,,C,44.23,,C,,,,
,"6,041",,    4 MEYERS HUB,,,,$302.86, ,,0.763,, ,$283.68,,, ,,$319.14,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,822",    4 SS316 LINE TERMIN,,,,1.00,,,0.00,,$283.97,,,E,60.00,,C,,,,
,"4,665",    4 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,888.91",,,C,16.30,,C,,,,
,"6,042",,    4 ERICKSON,,,,$638.01, ,,0.600,, ,$563.75,,, ,,$634.22,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,926",    4 3 PIECE UNION,,,,1.00,,,0.00,,$638.01,,,E,0.60,,E,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,043",,    4 SPLIT COUPLING,,,,$191.36, ,,0.600,, ,$183.20,,, ,,$206.10,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,950",    4 SPLIT COUPLING,,,,1.00,,,0.00,,$191.36,,,E,0.60,,E,,,,
,,,,,,,,,,,,,,,,,,,,,
,"6,044",,    4 LB CONDULET,,,,$417.01, ,,1.700,, ,$412.41,,, ,,$463.97,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,112",2-1/2&3 COND BODY GASK,,,,1.00,,,0.00,,$11.56,,,E,0.00,,X,,,,
,"3,823",    4 GRC LB BODY,,,,1.00,,,0.00,,$364.92,,,E,1.70,,E,,,,
,"4,103",3 1/2 - 4  GRC FLAT COV,,,,1.00,,,0.00,,$40.53,,,E,0.00,,X,,,,
,"6,045",,    4 T CONDULET,,,,$612.86, ,,1.800,, ,$582.64,,, ,,$655.47,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,112",2-1/2&3 COND BODY GASK,,,,1.00,,,0.00,,$11.56,,,E,0.00,,X,,,,
,"3,835",    4 GRC T BODY,,,,1.00,,,0.00,,$560.77,,,E,1.80,,E,,,,
,"4,103",3 1/2 - 4  GRC FLAT COV,,,,1.00,,,0.00,,$40.53,,,E,0.00,,X,,,,
,"6,046",,    4 CHASE NIPPLE,,,,$174.69, ,,0.716,, ,$172.88,,, ,,$194.49,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,963",    4 CHASE NIPPLE,,,,1.00,,,0.00,,"$12,787.40",,,C,15.00,,C,,,,
,"4,595",    4 LOCKNUT,,,,1.00,,,0.00,,"$2,792.78",,,C,40.25,,C,,,,
,"4,665",    4 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,888.91",,,C,16.30,,C,,,,
,"6,050",,n14 imc no strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"6,051",,"2 #14 1/2"" IMC",,,,$5.43, ,,0.046,, ,$6.17,,, ,,$6.95,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,5,  14 THHN CU SOLID,,,,2.10,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"6,052",,"3 #14 1/2"" IMC",,,,$6.03, ,,0.049,, ,$6.80,,, ,,$7.65,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,5,  14 THHN CU SOLID,,,,3.15,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"6,053",,"4 #14 1/2"" IMC",,,,$6.64, ,,0.052,, ,$7.42,,, ,,$8.34,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,5,  14 THHN CU SOLID,,,,4.20,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"6,054",,"5 #14 1/2"" IMC",,,,$7.25, ,,0.056,, ,$8.04,,, ,,$9.04,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,5,  14 THHN CU SOLID,,,,5.25,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"6,055",,"6 #14 1/2"" IMC",,,,$7.85, ,,0.059,, ,$8.66,,, ,,$9.74,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,5,  14 THHN CU SOLID,,,,6.30,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"6,056",,"7 #14 3/4"" IMC",,,,$9.36, ,,0.074,, ,$10.47,,, ,,$11.78,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,587",  3/4 LOCKNUT,,,,0.20,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"4,657",  3/4 BUSH PLASTIC,,,,0.10,,,0.00,,$94.94,,,C,4.90,,C,,,,
,5,  14 THHN CU SOLID,,,,7.35,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"2,301",  3/4 IMC,,,,1.00,,,0.00,,$487.63,,,C,3.00,,C,,,,
,"6,057",,"8 #14 3/4"" IMC",,,,$9.97, ,,0.077,, ,$11.09,,, ,,$12.48,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,587",  3/4 LOCKNUT,,,,0.20,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"4,657",  3/4 BUSH PLASTIC,,,,0.10,,,0.00,,$94.94,,,C,4.90,,C,,,,
,5,  14 THHN CU SOLID,,,,8.40,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"2,301",  3/4 IMC,,,,1.00,,,0.00,,$487.63,,,C,3.00,,C,,,,
,"6,059",,n12 imc no strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"6,060",,"2 #12 1/2"" IMC",,,,$6.21, ,,0.048,, ,$6.91,,, ,,$7.77,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,11,  12 THHN CU STRANDED 3,,,,2.10,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"6,061",,"3 #12 1/2"" IMC",,,,$7.20, ,,0.052,, ,$7.90,,, ,,$8.89,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,11,  12 THHN CU STRANDED 3,,,,3.15,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"6,062",,"4 #12 1/2"" IMC",,,,$8.20, ,,0.057,, ,$8.89,,, ,,$10.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,4.20,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"6,063",,"5 #12 1/2"" IMC",,,,$9.19, ,,0.061,, ,$9.88,,, ,,$11.11,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,5.25,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,"6,064",,"6 #12 1/2"" IMC",,,,$10.19, ,,0.065,, ,$10.87,,, ,,$12.22,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,6.30,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"2,300",  1/2 IMC,,,,1.00,,,0.00,,$404.51,,,C,2.00,,C,,,,
,"4,656",  1/2 BUSH PLASTIC,,,,0.10,,,0.00,,$73.78,,,C,4.40,,C,,,,
,"4,586",  1/2 LOCKNUT,,,,0.20,,,0.00,,$49.16,,,C,7.70,,C,,,,
,"6,065",,"7 #12 3/4"" IMC",,,,$12.09, ,,0.082,, ,$13.04,,, ,,$14.68,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,7.35,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"4,587",  3/4 LOCKNUT,,,,0.20,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"4,657",  3/4 BUSH PLASTIC,,,,0.10,,,0.00,,$94.94,,,C,4.90,,C,,,,
,"2,301",  3/4 IMC,,,,1.00,,,0.00,,$487.63,,,C,3.00,,C,,,,
,"6,066",,"8 #12 3/4"" IMC",,,,$13.09, ,,0.086,, ,$14.03,,, ,,$15.79,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,8.40,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"4,587",  3/4 LOCKNUT,,,,0.20,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"2,301",  3/4 IMC,,,,1.00,,,0.00,,$487.63,,,C,3.00,,C,,,,
,"4,657",  3/4 BUSH PLASTIC,,,,0.10,,,0.00,,$94.94,,,C,4.90,,C,,,,
,"6,068",,n10 imc no strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"6,069",,"2 #10 3/4"" IMC",,,,$8.17, ,,0.063,, ,$9.07,,, ,,$10.20,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,12,  10 THHN CU STRANDED 4,,,,2.10,,,0.00,,"$1,449.91",,,M,5.00,,M,,,,
,"4,587",  3/4 LOCKNUT,,,,0.20,,,0.00,,$76.78,,,C,8.65,,C,,,,
