Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,34,  12 XHHW CU SOLID 25A,,,,1.00,,,0.00,,"$1,477.70",,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,35,,  10 XHHW CU SOLID,,,,$2.28, ,,0.005,, ,$2.11,,, ,,$2.38,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,35,  10 XHHW CU SOLID  35A,,,,1.00,,,0.00,,"$2,284.35",,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,37,,cu xhhw stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,38,,  14 XHHW CU STRANDED,,,,$0.86, ,,0.003,, ,$0.84,,, ,,$0.94,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,38,  14 XHHW CU STRANDED 2,,,,1.00,,,0.00,,$863.88,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,39,,  12 XHHW CU STRANDED,,,,$1.17, ,,0.004,, ,$1.13,,, ,,$1.28,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,39,  12 XHHW CU STRANDED 3,,,,1.00,,,0.00,,"$1,172.75",,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,40,,  10 XHHW CU STRANDED,,,,$1.76, ,,0.005,, ,$1.67,,, ,,$1.87,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,40,  10 XHHW CU STRANDED 4,,,,1.00,,,0.00,,"$1,757.62",,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,41,,   8 XHHW CU STRANDED,,,,$3.12, ,,0.006,, ,$2.86,,, ,,$3.22,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,41,   8 XHHW CU STRANDED 5,,,,1.00,,,0.00,,"$3,120.76",,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,42,,   6 XHHW CU STRANDED,,,,$5.27, ,,0.007,, ,$4.72,,, ,,$5.31,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,42,   6 XHHW CU STRANDED 7,,,,1.00,,,0.00,,"$5,267.10",,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,43,,   4 XHHW CU STRANDED,,,,$7.75, ,,0.008,, ,$6.87,,, ,,$7.73,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,43,   4 XHHW CU STRANDED  ,,,,1.00,,,0.00,,"$7,750.68",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,44,,   3 XHHW CU STRANDED,,,,$9.53, ,,0.009,, ,$8.42,,, ,,$9.47,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,44,   3 XHHW CU STRANDED 1,,,,1.00,,,0.00,,"$9,526.75",,,M,9.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,45,,   2 XHHW CU STRANDED,,,,$11.96, ,,0.010,, ,$10.53,,, ,,$11.84,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,45,   2 XHHW CU STRANDED 1,,,,1.00,,,0.00,,"$11,961.00",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,46,,   1 XHHW CU STRANDED,,,,$13.12, ,,0.011,, ,$11.55,,, ,,$12.99,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,46,   1 XHHW CU STRANDED 1,,,,1.00,,,0.00,,"$13,120.12",,,M,11.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,47,, 1/0 XHHW CU STRANDED,,,,$16.13, ,,0.014,, ,$14.21,,, ,,$15.99,, ,
