Category,Name,Description,Part Number,Price,Cost,Unit of Measure
Wire,COP THHN2GN5000,THHN 2 STR GREEN 5000',THHN2GN5000,2313.41,2313.41,THOUSAND
Wire,COP THHN300BK2500,THHN 300 STR BLACK 2500',THHN300BK2500,8799.48,8799.48,THOUSAND
Wire,COP THHN30BK1000,THHN 3/0 STR BLACK 1000',THHN30BK1000,5046.26,5046.26,THOUSAND
Wire,COP THHN30BK2500,THHN 3/0 STR BLACK 2500',THHN30BK2500,5046.26,5046.26,THOUSAND
Wire,COP THHN350BK2500,THHN 350 STR BLACK 2500',THHN350BK2500,10249.61,10249.61,THOUSAND
Wire,COP THHN350BK500,THHN 350 STR BLACK 500',THHN350BK500,10249.61,10249.61,THOUSAND
Wire,COP THHN3BK1000,THHN 3 STR BLACK 1000',THHN3BK1000,1848.06,1848.06,THOUSAND
Wire,COP THHN3BK5000,THHN 3 STR BLACK 5000',THHN3BK5000,1848.06,1848.06,THOUSAND
Wire,COP THHN400BK1000,THHN 400 STR BLACK 1000',THHN400BK1000,11463.09,11463.09,THOUSAND
Wire,COP THHN400BK2500,THHN 400 STR BLACK 2500',THHN400BK2500,11463.09,11463.09,THOUSAND
Wire,COP THHN40BK2500,THHN 4/0 STR BLACK 2500',THHN40BK2500,6299.24,6299.24,THOUSAND
Wire,COP THHN40GN1000,THHN 4/0 STR GREEN 1000',THHN40GN1000,6299.24,6299.24,THOUSAND
Wire,COP THHN40GN500,THHN 4/0 STR GREEN 500',THHN40GN500,6299.24,6299.24,THOUSAND
Wire,COP THHN4BK2500,THHN 4 STR BLACK 2500',THHN4BK2500,1465.37,1465.37,THOUSAND
Wire,COP THHN4BKPCS,THHN 4 STR BLACK PCS,THHN4BKPCS,1465.37,1465.37,THOUSAND
Wire,COP THHN4GN500,THHN 4 STR GREEN 500',THHN4GN500,1465.37,1465.37,THOUSAND
Wire,COP THHN4GNPCS,THHN 4 STR GREEN PCS,THHN4GNPCS,1465.37,1465.37,THOUSAND
Wire,COP THHN4WH500,THHN 4 STR WHITE 500',THHN4WH500,1465.37,1465.37,THOUSAND
Wire,COP THHN500BK500,THHN 500 STR BLACK 500',THHN500BK500,14484.45,14484.45,THOUSAND
Wire,COP THHN500BKPCS,THHN 500 STR BLACK PCS,THHN500BKPCS,14484.45,14484.45,THOUSAND
Wire,COP THHN600BKPCS,THHN 600 STR BLACK PCS,THHN600BKPCS,18049.00,18049.00,THOUSAND
Wire,COP THHN6BK5000,THHN 6 STR BLACK 5000',THHN6BK5000,941.36,941.36,THOUSAND
Wire,COP THHN6BKPCS,THHN 6 STR BLACK PCS,THHN6BKPCS,941.36,941.36,THOUSAND
Wire,COP THHN6GN500,THHN 6 STR GREEN 500',THHN6GN500,941.36,941.36,THOUSAND
Wire,COP THHN6RD2500,THHN 6 STR RED 2500',THHN6RD2500,941.36,941.36,THOUSAND
Wire,COP THHN6RD500,THHN 6 STR RED 500',THHN6RD500,941.36,941.36,THOUSAND
Wire,COP THHN6WHPCS,THHN 6 STR WHITE PCS,THHN6WHPCS,941.36,941.36,THOUSAND
Wire,COP THHN750BK500,THHN 750 STR BLACK 500',THHN750BK500,30509.75,30509.75,THOUSAND
Wire,COP THHN8BK1000,THHN 8 STR BLACK 1000',THHN8BK1000,611.84,611.84,THOUSAND
Wire,COP THHN8BK500,THHN 8 STR BLACK 500',THHN8BK500,611.84,611.84,THOUSAND
Wire,COP THHN8BKPCS,THHN 8 STR BLACK PCS,THHN8BKPCS,611.84,611.84,THOUSAND
Wire,COP THHN8BL2500,THHN 8 STR BLUE 2500',THHN8BL2500,611.84,611.84,THOUSAND
Wire,COP THHN8BR500,THHN 8 STR BROWN 500',THHN8BR500,611.84,611.84,THOUSAND
Wire,COP THHN8WH1000,THHN 8 STR WHITE 1000',THHN8WH1000,611.84,611.84,THOUSAND
Wire,COP THHN8WHPCS,THHN 8 STR WHITE PCS,THHN8WHPCS,611.84,611.84,THOUSAND
Wire,COP THHN8YL500,THHN 8 STR YELLOW 500',THHN8YL500,611.84,611.84,THOUSAND
Wire,COP UF102WG250,UF-B 10/2WG CABLE 250',UF102WG250,1044.08,1044.08,THOUSAND
Wire,COP UF102WGPCS,UF-B 10/2WG CABLE PCS,UF102WGPCS,1054.84,1054.84,THOUSAND
Wire,COP UF142WG1000,UF-B 14/2WG CABLE 1000',UF142WG1000,427.95,427.95,THOUSAND
Wire,COP UF142WG250,UF-B 14/2WG CABLE 250',UF142WG250,417.18,417.18,THOUSAND
Wire,COP UF62WG1000,UF-B 6/2WG CABLE 1000',UF62WG1000,2599.51,2599.51,THOUSAND
Wire,COP UF62WG500,UF-B 6/2WG CABLE 500',UF62WG500,2599.51,2599.51,THOUSAND
Wire,COP XHHW10STBK500,CU XHHW #10 STR BLACK 500',XHHW10STBK500,451.51,451.51,THOUSAND
N/A,COP XHHW12STBKPCS,CU XHHW #12 STR BLACK PCS,XHHW12STBKPCS,301.24,301.24,THOUSAND
N/A,COP XHHW10STWHPCS,CU XHHW #10 STR WHITE PCS,XHHW10STWHPCS,451.48,451.48,THOUSAND
N/A,COP XHHW10STRDPCS,CU XHHW #10 STR RED PCS,XHHW10STRDPCS,451.48,451.48,THOUSAND
N/A,COP XHHW12STWHPCS,CU XHHW #12 STR WHITE PCS,XHHW12STWHPCS,301.24,301.24,THOUSAND
N/A,COP XHHW10STBKPCS,CU XHHW #10 STR BLACK PCS,XHHW10STBKPCS,451.48,451.48,THOUSAND
N/A,COP XHHW10STBLPCS,CU XHHW #10 STR BLUE PCS,XHHW10STBLPCS,451.48,451.48,THOUSAND
Wire,COP THHN600PRPCS,THHN 600 STR PURPLE PCS,THHN600PRPCS,18049.00,18049.00,THOUSAND
N/A,COP THHN6GYPCS,THHN 6 STR GRAY PCS,THHN6GYPCS,941.36,941.36,THOUSAND
Wire,COP THHN10STGYYL2500,THHN 10 STR GRAY/YELLOW STRIPE 2500',THHN10STGYYL2500,354.64,354.64,THOUSAND
Wire,COP THHN6YL500,THHN 6 STR YELLOW 500',THHN6YL500,941.36,941.36,THOUSAND
Wire,COP BARE6S0LPCS,BARE CU #6 SOL PCS,BARE6S0LPCS,829.46,829.46,THOUSAND
