Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,,,,,,,,,,,,,,,,,,,,
"30,027",,single support post insulat,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,028",,SGL SUPPORT POST INS (RUS V,,,,$0.00, ,,1.630,, ,$54.77,,,E,,$61.61,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"39,606","BRACKET W/ 1 3/4"" SPOOL",,,,1.00,,,0.00,,$0.00,,,E,0.30,,E,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,3.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"39,720","24.9/14.4KV 14"" -1.75"" ",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,769","BRACKET, POLE TOP FOR P",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,031",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,032",,single support on crossarm,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,033",,SGL SUPPORT CROSSARM (RUS V,,,,$0.00, ,,4.810,, ,$161.62,,,E,,$181.82,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,1.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"36,927","5/8 x 14""  STL CROSSARM",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"37,080","1/2"" X 4"" LAG BOLT",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,819","PIN INSUL 1"" 13.2/7.62K",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,953",8' CROSSARM TYPE-4  FIB,,,,1.00,,,0.00,,$0.00,,,E,1.20,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,926","5/8 x 10 3/4""  STL CR-A",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,068","3/8"" X 4 1/2"" CARRIAGE ",,,,2.00,,,0.00,,$0.00,,,E,0.08,,E,,,,
"38,741","POLE # & LETTERS, METAL",,,,4.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,532","26"" BRACE, PLASTIC  CRO",,,,2.00,,,0.00,,$0.00,,,E,0.45,,E,,,,
"30,036",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,037",,sgl support on crossarm pos,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,038",,SGL SUPPORT CROSSARM (RUS V,,,,$0.00, ,,4.490,, ,$150.86,,,E,,$169.72,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"37,080","1/2"" X 4"" LAG BOLT",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,1.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,819","PIN INSUL 1"" 13.2/7.62K",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,953",8' CROSSARM TYPE-4  FIB,,,,1.00,,,0.00,,$0.00,,,E,1.20,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,926","5/8 x 10 3/4""  STL CR-A",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,068","3/8"" X 4 1/2"" CARRIAGE ",,,,2.00,,,0.00,,$0.00,,,E,0.08,,E,,,,
"38,741","POLE # & LETTERS, METAL",,,,4.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,532","26"" BRACE, PLASTIC  CRO",,,,2.00,,,0.00,,$0.00,,,E,0.45,,E,,,,
"39,720","24.9/14.4KV 14"" -1.75"" ",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,041",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,042",,single phase junc guide,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,043",,SGL SUPPORT JUNCTION (RUS V,,,,$0.00, ,,10.764,, ,$361.67,,,E,,$406.88,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
