Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"21,857",,"4 #3 & 1 #8  1 1/4"" PVC CON",,,,$41.01, ,,0.116,, ,$38.83,,, ,,$43.69,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
16,   3 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$8,880.02",,,M,9.00,,M,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
13,   8 THHN CU STRANDED 5,,,,1.00,,,15.00,,"$2,691.24",,,M,6.00,,M,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
"21,859",,n2 pvc strap conc const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"21,860",,"3 #2   1"" PVC CONC CONST",,,,$35.31, ,,0.093,, ,$33.19,,, ,,$37.34,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"8,014",    1 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$3.79,,,E,0.10,,E,,,,
"8,471",    1 PVC COUPLING,,,,0.00,,,3.00,,$92.57,,,C,10.10,,C,,,,
17,   2 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$11,115.02",,,M,10.00,,M,,,,
"8,445",    1 PVC MALE TERM,,,,0.00,,,2.00,,$142.48,,,C,10.10,,C,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
"4,588",    1 LOCKNUT,,,,0.00,,,2.00,,$133.56,,,C,10.00,,C,,,,
"5,259",    1 GRC 1H STL STP,,,,0.13,,,3.00,,$305.63,,,C,3.00,,C,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"21,861",,"3 #2 & 1 #6  1 1/4"" PVC CON",,,,$40.75, ,,0.111,, ,$38.44,,, ,,$43.24,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
17,   2 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$11,115.02",,,M,10.00,,M,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"21,862",,"4 #2 1 1/4"" PVC CONC CONST",,,,$47.26, ,,0.114,, ,$44.09,,, ,,$49.60,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
17,   2 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$11,115.02",,,M,10.00,,M,,,,
"21,863",,"4 #2 & 1 #6 1 1/4"" PVC CONC",,,,$51.86, ,,0.121,, ,$48.24,,, ,,$54.27,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
17,   2 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$11,115.02",,,M,10.00,,M,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"21,865",,n1 pvc strap conc const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"21,866",,"3 #1   1 1/4"" PVC  CONC CON",,,,$39.96, ,,0.107,, ,$37.63,,, ,,$42.33,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
18,   1 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$12,385.51",,,M,11.00,,M,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"21,867",,"3 #1 & 1 #6 1 1/4"" PVC CONC",,,,$44.56, ,,0.114,, ,$41.79,,, ,,$47.01,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
18,   1 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$12,385.51",,,M,11.00,,M,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
"21,868",,"4 #1 1 1/4"" PVC CONC CONST",,,,$52.34, ,,0.118,, ,$48.55,,, ,,$54.62,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
18,   1 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$12,385.51",,,M,11.00,,M,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"21,869",,"4 #1 & 1 #6  1 1/2"" PVC CON",,,,$57.25, ,,0.136,, ,$53.35,,, ,,$60.01,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"8,016",1 1/2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$7.55,,,E,0.15,,E,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
"4,590",1 1/2 LOCKNUT,,,,0.00,,,2.00,,$279.30,,,C,15.00,,C,,,,
"5,261",1 1/2 GRC 1H STL STP,,,,0.13,,,3.00,,$561.59,,,C,4.00,,C,,,,
18,   1 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$12,385.51",,,M,11.00,,M,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
"8,447",1 1/2 PVC MALE TERM,,,,0.00,,,2.00,,$247.25,,,C,13.90,,C,,,,
"8,473",1 1/2 PVC COUPLING,,,,0.00,,,3.00,,$172.49,,,C,13.90,,C,,,,
"21,871",,n1/0 pvc strap conc const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"21,872",,"3 #1/0   1 1/4"" PVC CONC CO",,,,$48.29, ,,0.116,, ,$45.03,,, ,,$50.66,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"5,545",1/4-20 X 3/4 RH MACH SC,,,,0.13,,,3.00,,$4.85,,,C,0.00,,X,,,,
"5,979",1/4 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$16.49,,,C,15.00,,C,,,,
"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,3.00,,$156.87,,,C,0.00,,X,,,,
"8,446",1 1/4 PVC MALE TERM,,,,0.00,,,2.00,,$189.36,,,C,12.00,,C,,,,
"4,589",1 1/4 LOCKNUT,,,,0.00,,,2.00,,$194.04,,,C,12.63,,C,,,,
"8,015",1 1/4 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$5.85,,,E,0.12,,E,,,,
"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
"5,260",1 1/4 GRC 1H STL STP,,,,0.13,,,3.00,,$414.50,,,C,4.00,,C,,,,
"8,472",1 1/4 PVC COUPLING,,,,0.00,,,3.00,,$139.31,,,C,12.00,,C,,,,
19, 1/0 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$15,163.94",,,M,14.00,,M,,,,
"21,873",,"3 #1/0 & 1 #6  1 1/2"" PVC C",,,,$53.20, ,,0.134,, ,$49.83,,, ,,$56.06,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
"8,447",1 1/2 PVC MALE TERM,,,,0.00,,,2.00,,$247.25,,,C,13.90,,C,,,,
"8,473",1 1/2 PVC COUPLING,,,,0.00,,,3.00,,$172.49,,,C,13.90,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"8,016",1 1/2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$7.55,,,E,0.15,,E,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
19, 1/0 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$15,163.94",,,M,14.00,,M,,,,
"4,590",1 1/2 LOCKNUT,,,,0.00,,,2.00,,$279.30,,,C,15.00,,C,,,,
"5,261",1 1/2 GRC 1H STL STP,,,,0.13,,,3.00,,$561.59,,,C,4.00,,C,,,,
"21,874",,"4 #1/0  1 1/2"" PVC CONC CON",,,,$63.76, ,,0.141,, ,$59.06,,, ,,$66.44,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"8,016",1 1/2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$7.55,,,E,0.15,,E,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
19, 1/0 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$15,163.94",,,M,14.00,,M,,,,
"4,590",1 1/2 LOCKNUT,,,,0.00,,,2.00,,$279.30,,,C,15.00,,C,,,,
"5,261",1 1/2 GRC 1H STL STP,,,,0.13,,,3.00,,$561.59,,,C,4.00,,C,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
"8,447",1 1/2 PVC MALE TERM,,,,0.00,,,2.00,,$247.25,,,C,13.90,,C,,,,
"8,473",1 1/2 PVC COUPLING,,,,0.00,,,3.00,,$172.49,,,C,13.90,,C,,,,
"21,875",,"4 #1/0 & 1 #6  1 1/2"" PVC C",,,,$68.36, ,,0.148,, ,$63.22,,, ,,$71.12,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
"8,447",1 1/2 PVC MALE TERM,,,,0.00,,,2.00,,$247.25,,,C,13.90,,C,,,,
"8,473",1 1/2 PVC COUPLING,,,,0.00,,,3.00,,$172.49,,,C,13.90,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"8,016",1 1/2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$7.55,,,E,0.15,,E,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
19, 1/0 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$15,163.94",,,M,14.00,,M,,,,
"4,590",1 1/2 LOCKNUT,,,,0.00,,,2.00,,$279.30,,,C,15.00,,C,,,,
"5,261",1 1/2 GRC 1H STL STP,,,,0.13,,,3.00,,$561.59,,,C,4.00,,C,,,,
"21,877",,n2/0 pvc strap conc const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"21,878",,"3 #2/0   1 1/2"" PVC CONC CO",,,,$59.14, ,,0.133,, ,$54.86,,, ,,$61.72,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
"8,447",1 1/2 PVC MALE TERM,,,,0.00,,,2.00,,$247.25,,,C,13.90,,C,,,,
"8,473",1 1/2 PVC COUPLING,,,,0.00,,,3.00,,$172.49,,,C,13.90,,C,,,,
"8,016",1 1/2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$7.55,,,E,0.15,,E,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
20, 2/0 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$18,679.13",,,M,16.00,,M,,,,
"4,590",1 1/2 LOCKNUT,,,,0.00,,,2.00,,$279.30,,,C,15.00,,C,,,,
"5,261",1 1/2 GRC 1H STL STP,,,,0.13,,,3.00,,$561.59,,,C,4.00,,C,,,,
"21,879",,"3 #2/0 & 1 #6  1 1/2"" PVC C",,,,$63.74, ,,0.140,, ,$59.01,,, ,,$66.39,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
20, 2/0 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$18,679.13",,,M,16.00,,M,,,,
"4,590",1 1/2 LOCKNUT,,,,0.00,,,2.00,,$279.30,,,C,15.00,,C,,,,
"5,261",1 1/2 GRC 1H STL STP,,,,0.13,,,3.00,,$561.59,,,C,4.00,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"8,016",1 1/2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$7.55,,,E,0.15,,E,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
"8,447",1 1/2 PVC MALE TERM,,,,0.00,,,2.00,,$247.25,,,C,13.90,,C,,,,
"8,473",1 1/2 PVC COUPLING,,,,0.00,,,3.00,,$172.49,,,C,13.90,,C,,,,
"21,880",,"4 #2/0  2"" PVC CONC CONST",,,,$78.70, ,,0.159,, ,$72.40,,, ,,$81.45,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
"5,262",    2 GRC 1H STL STP,,,,0.13,,,3.00,,$929.08,,,C,4.00,,C,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"4,591",    2 LOCKNUT,,,,0.00,,,2.00,,$373.21,,,C,18.10,,C,,,,
"8,017",    2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$10.18,,,E,0.18,,E,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
"8,448",    2 PVC MALE TERM,,,,0.00,,,2.00,,$313.42,,,C,16.10,,C,,,,
"8,474",    2 PVC COUPLING,,,,0.00,,,3.00,,$224.03,,,C,16.10,,C,,,,
20, 2/0 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$18,679.13",,,M,16.00,,M,,,,
"21,881",,"4 #2/0  & 1 #6  2"" PVC CONC",,,,$83.30, ,,0.166,, ,$76.55,,, ,,$86.12,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"8,017",    2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$10.18,,,E,0.18,,E,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
"8,448",    2 PVC MALE TERM,,,,0.00,,,2.00,,$313.42,,,C,16.10,,C,,,,
"8,474",    2 PVC COUPLING,,,,0.00,,,3.00,,$224.03,,,C,16.10,,C,,,,
"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
"5,262",    2 GRC 1H STL STP,,,,0.13,,,3.00,,$929.08,,,C,4.00,,C,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"4,591",    2 LOCKNUT,,,,0.00,,,2.00,,$373.21,,,C,18.10,,C,,,,
20, 2/0 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$18,679.13",,,M,16.00,,M,,,,
"21,883",,n3/0 pvc strap conc const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"21,884",,"3 #3/0   2"" PVC CONC CONST",,,,$24.39, ,,0.155,, ,$25.99,,, ,,$29.23,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
"5,262",    2 GRC 1H STL STP,,,,0.13,,,3.00,,$929.08,,,C,4.00,,C,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"4,591",    2 LOCKNUT,,,,0.00,,,2.00,,$373.21,,,C,18.10,,C,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
"8,448",    2 PVC MALE TERM,,,,0.00,,,2.00,,$313.42,,,C,16.10,,C,,,,
"8,474",    2 PVC COUPLING,,,,0.00,,,3.00,,$224.03,,,C,16.10,,C,,,,
21, 3/0 THHN CU STRANDED 2,,,,3.00,,,45.00,,$6.80,,,E,20.00,,M,,,,
"8,017",    2 PVC 40 90 ELBOW,,,,0.00,,,3.00,,$10.18,,,E,0.18,,E,,,,
"21,885",,"3 #3/0  & 1 #6  2"" PVC CONC",,,,$28.99, ,,0.162,, ,$30.14,,, ,,$33.91,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
"5,262",    2 GRC 1H STL STP,,,,0.13,,,3.00,,$929.08,,,C,4.00,,C,,,,
"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,0.13,,,3.00,,$13.27,,,C,0.00,,X,,,,
"5,980",3/8 MACHINE BOLT ANCH,,,,0.13,,,3.00,,$24.56,,,C,16.00,,C,,,,
"4,591",    2 LOCKNUT,,,,0.00,,,2.00,,$373.21,,,C,18.10,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"5,911","3/8"" FLAT STEEL WASHER",,,,0.13,,,3.00,,$122.10,,,C,0.00,,X,,,,
