assmNum,assmName
28199,iv cat6 plenum voice outlet
28204,grey cat6 plenum voice outl
28209,alm cat6 plenum voice outle
28215,white cat6 surface voice ou
28220,ivory cat6 surface voice ou
28225,grey cat6 surface voice out
28230,almond cat6 surface voice o
28236,wh cat6 surface plen voice
28241,iv ca6 surface plen voice o
28246,grey cat6 surface plen voic
28251,alm cat6 surface plen voice
28257,white 8c tel  outlets 11'
28262,ivory 8c tel outlets 11'
28267,grey 8c tel outlets 11'
28272,black 8c tel outlets 11'
28278,white 8c tel  outlets 25'
28283,ivory 8c tel outlets 25'
28288,grey 8c tel outlets 25'
28293,black 8c tel outlets 25'
28299,white 8c plenum tel  outlet
28304,ivory 8c plenum tel outlets
28309,grey 8c plenum tel outlets
28314,black 8c plenum tel outlets
28320,white 8c plenum tel  outlet
28325,ivory 8c plenum tel outlets
28330,grey 8c plenum tel outlets
28335,black 8c plenum tel outlets
28341,white 8c plenum tel  outlet
28346,ivory 8c plenum tel outlets
28351,grey 8c plenum tel outlets
28356,black 8c plenum tel outlets
28375,data/computer
28376,computer
28377,racks & enclosures
28378,racks
28392,cabinets
28410,voice/data outlets
28411,cat5e outlets
28461,cat5e  plenum outlets
28511,cat5e surface outlets
28540,cat5e plenum surface outlet
28569,cat6 surface outlets
28598,cat6 surface plenum outlets
28627,cat6a surface outlets
28656,cat6a surface plenum outlet
28685,cat7 surface outlets
28714,cat7 surface plenum outlets
28743,cat6 outlets
28793,cat6  plenum outlets
28843,cat6a  outlets
28893,cat6a  plenum outlets
28943,cat7 outlets
28993,cat7  plenum outlets
29197,3/4 innerduct fiber w/bc ha
29232,2d4w cable tray fiber w/bc
29267,2d4w cable tray fiber w/hb
29335,end abs voice/data  databas
29337,begin residential abs datab
29380,end residential abs databas
29383,start transmission & distri
29384,start 12.47/7.2kv rus datab
29489,12.47/7.2kv 2 ph pri pole t
29599,12.47/7.2kv 3 ph pri pole t
30000,start 24.9/14.4 kv rus data
30001,single support miscellaneo
30009,24.9/14.4 kv rus
30015,24.9/14.4 kv rus
30021,24.9/14.4 kv rus
30026,24.9/14.4 kv rus
30031,24.9/14.4 kv rus
30036,24.9/14.4 kv rus
30041,24.9/14.4 kv rus
30046,24.9/14.4 kv rus
30054,24.9/14.4 kv rus
30058,24.9/14.4 kv rus
30063,24.9/14.4 kv rus
30069,24.9/14.4 kv rus
30076,24.9/14.4 kv rus
30082,24.9/14.4 kv rus
30090,24.9/14.4 kv rus
30095,24.9/14.4 kv rus
30101,24.9/14.4 kv rus
30106,24.9/14.4 kv rus
30111,24.9/14.4 kv rus
30116,24.9/14.4 kv rus
30121,24.9/14.4 kv rus
30127,24.9/14.4 kv rus
30133,24.9/14.4 kv rus
30138,24.9/14.4 kv rus
30142,24.9/14.4 kv rus
30147,24.9/14.4 kv rus
30152,24.9/14.4 kv rus
30160,24.9/14.4 kv rus
30168,24.9/14.4 kv rus
30174,24.9/14.4 kv rus
30180,24.9/14.4 kv rus
30186,24.9/14.4 kv rus
30191,24.9/14.4 kv rus
30196,24.9/14.4 kv rus
30201,24.9/14.4 kv rus
30206,24.9/14.4 kv rus
30211,24.9/14.4 kv rus
30216,24.9/14.4 kv rus
30221,24.9/14.4 kv rus
30226,24.9/14.4 kv rus
30231,24.9/14.4 kv rus
30236,24.9/14.4 kv rus
30241,24.9/14.4 kv rus
30246,24.9/14.4 kv rus
30251,24.9/14.4 kv rus
30256,24.9/14.4 kv rus
30261,24.9/14.4 kv rus
30266,24.9/14.4 kv rus
30271,24.9/14.4 kv rus
30276,24.9/14.4 kv rus
30281,24.9/14.4 kv rus
30286,24.9/14.4 kv rus
30291,24.9/14.4 kv rus
30296,24.9/14.4 kv rus
30301,24.9/14.4 kv rus
30307,24.9/14.4 kv rus
30312,24.9/14.4 kv rus
30317,24.9/14.4 kv rus
30325,24.9/14.4 kv rus
30334,24.9/14.4kv rus
30339,24.9/14.4kv rus
30344,24.9/14.4kv rus
30349,24.9/14.4kv rus
30354,24.9/14.4 kv rus
30359,24.9/14.4kv rus
30364,24.9/14.4 kv rus
30369,24.9/14.4  kv rus
30374,24.9/14.4 kv rus
30379,24.9/14.4 kv rus
30384,24.9/14.4 kv rus
30389,24.9/14.4 kv rus
30395,24.9/14.4 kv rus
30400,24.9/14.4 kv rus
30405,24.9/14.4 kv rus
30410,24.9/14.4 kv rus
30415,24.9/14.4 kv rus
30420,24.9/14.4 kv rus
30425,24.9/14.4 kv rus
30430,24.9/14.4 kv rus
30438,24.9/14.4 kv rus
30446,24.9/14.4 kv rus
30454,24.9/14.4 kv rus
30460,24.9/14.4 kv rus
30467,24.9/14.4 kv rus
30474,24.9/14.4 kv rus
30479,24.9/14.4 kv rus
30484,24.9/14.4 kv rus
30490,24.9/14.4 kv rus
30494,24.9/14.4 kv rus
30499,24.9/14.4 kv rus
30504,24.9/14.4 kv rus
30509,24.9/14.4 kv rus
30514,24.9/14.4 kv rus
30519,24.9/14.4 kv rus
30520,3ph trans bl gr-y pri ct gr
30524,24.9/14.4 kv rus
30529,24.9/14.4 kv rus
30534,24.9/14.4 kv rus
30539,24.9/14.4 kv rus
30544,24.9/14.4 kv rus
30545,secondary assemblies (small
30550,24.9/14.4 kv rus
30556,24.9/14.4 kv rus
30562,24.9/14.4 kv rus
30570,24.9/14.4 kv rus
30577,24.9/14.4 kv rus
30583,24.9/14.4 kv rus
30588,24.9/14.4 kv rus
30593,24.9/14.4 kv rus
30598,24.9/14.4 kv rus
30603,24.9/14.4 kv rus
30608,24.9/14.4 kv rus
30612,24.9/14.4 kv rus
30617,24.9/14.4 kv rus
30622,24.9/14.4 kv rus
30629,24.9/14.4 kv rus
30635,24.9/14.4 kv rus
30641,24.9/14.4 kv rus
30648,24.9/14.4 kv rus
30654,24.9/14.4 kv rus
30659,24.9/14.4 kv rus
30664,24.9/14.4 kv rus
30670,24.9/14.4 kv rus
30675,24.9/14.4 kv rus
30680,24.9/14.4 kv rus
30682,POLE PROT ASSY-WRAP TYPE (R
30686,120/240 volts
30691,120/240 volts
